_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1955,3.64,78.26,2.4,61.21,Afghanistan,4.45,78.06
,1970,4.69,64.52,2.95,47.16,Afghanistan,2.69,67.65
,1970,2.58,81.38,1.52,55.83,Afghanistan,1.38,59.15
,1980,5.75,74.44,2.62,65.97,Afghanistan,5.26,79.18
,1980,6.32,81.57,5.68,,Afghanistan,2.67,62.05
,2000,7.97,73.66,6.9,75.33,Afghanistan,1.75,
,2000,5.75,72.53,6.17,70.14,Afghanistan,2.73,
,2000,1.69,69.83,2.74,73.55,Argentina,5.97,80.24
,1995,7.66,65.0,8.23,64.08,Argentina,5.39,65.85
,1995,8.06,81.57,,69.16,Argentina,7.88,
,1980,3.27,61.27,1.28,57.69,Argentina,7.14,69.3
,1955,6.68,66.85,3.26,66.14,Argentina,4.35,54.69
,1980,4.45,67.42,3.78,55.16,Argentina,5.04,61.4
,1985,2.11,63.69,3.35,,Argentina,5.03,51.49
,1985,2.82,61.2,3.27,,Argentina,6.43,70.84
,1995,2.81,71.35,8.23,61.84,Argentina,2.47,
,1990,5.11,81.57,1.86,69.88,Australia,7.49,75.43
,2000,7.04,70.22,8.23,,Australia,7.25,70.97
,1980,6.14,60.68,4.04,55.79,Australia,6.44,55.26
,1975,7.4,70.06,,70.97,Australia,6.12,
,1955,4.17,73.43,,81.57,Australia,3.17,80.24
,1995,7.48,51.94,4.41,67.98,Australia,5.29,63.0
,1990,4.04,67.78,1.88,,Australia,7.3,59.77
,1955,3.03,60.84,1.79,62.29,Australia,2.02,59.42
,1970,5.35,53.26,2.9,64.53,Australia,7.76,55.99
,1975,1.17,70.04,2.96,62.34,Austria,4.82,59.63
,1975,3.22,69.56,2.06,60.06,Austria,3.27,61.85
,1995,7.8,72.99,,76.23,Austria,4.6,80.24
,1975,2.38,68.4,5.54,48.4,Austria,8.19,63.95
,1995,2.06,74.05,2.2,71.99,Austria,7.89,69.37
,1995,5.99,55.92,,68.4,Bahamas,7.17,79.69
,1985,5.87,53.9,3.24,64.35,Bahamas,5.68,
,1980,6.4,74.62,3.09,42.84,Bahamas,1.53,78.63
,1985,5.44,44.91,3.27,64.26,Bahamas,5.51,77.58
,1990,7.45,55.17,1.93,73.17,Bahamas,6.16,57.52
,1970,4.73,81.57,,58.71,Bahamas,7.08,78.03
,2000,1.85,79.21,2.59,69.13,Bahamas,6.64,66.44
,2000,6.65,57.67,1.03,73.24,Bahamas,7.04,49.37
,1965,5.18,51.64,3.7,68.34,Bahamas,1.19,49.83
,1975,6.39,73.55,2.25,63.7,Bahamas,5.2,66.66
,2000,4.84,60.13,5.25,81.57,Bangladesh,7.96,71.96
,1960,1.74,75.21,1.71,68.88,Bangladesh,8.22,69.15
,2000,1.13,48.18,3.61,64.85,Bangladesh,1.64,61.31
,1985,2.79,67.01,2.33,67.97,Bangladesh,4.85,59.32
,1975,3.02,65.12,4.38,66.6,Bangladesh,5.06,59.55
,1970,5.69,69.71,1.44,,Bangladesh,5.2,73.48
