duration,waiting,kind
4.203716511373616,79,long
4.681758681397591,74,long
4.100189456358689,83,long
3.964480529820271,88,long
4.302907846547956,86,long
2.444143922821542,57,short
1.733648343924117,51,short
4.036872195016427,82,long
4.307474028520364,72,long
3.529857823722082,77,long
4.242264292274586,77,long
4.673989290130824,80,long
2.121688986990324,60,short
4.642846740001359,84,long
4.186762774111689,80,long
4.355397885167334,71,long
1.816289534030208,55,short
2.356799547727777,48,short
4.341768141562522,87,long
2.233146254361837,59,short
3.901711993385594,79,long
3.986781065400729,84,long
4.625037539947823,67,long
5.071589142507691,80,long
2.063160675859556,65,short
4.107906726348307,72,long
4.382928947971921,77,long
4.19309837954846,70,long
3.899755402283799,86,long
2.611607809166246,59,short
4.082426524237944,80,long
4.613869878657885,70,long
1.60141021757392,47,short
4.323414644005752,85,long
4.322858300153048,85,long
2.443225041278081,56,short
3.853399123010709,81,long
4.317942215914908,84,long
4.196841783958001,82,long
4.801207094192244,80,long
2.028557434263313,60,short
2.375714150517908,62,short
4.383899441397305,81,long
2.286784137623264,51,short
4.374436885235023,79,long
5.090345027088727,86,long
1.930190444816746,52,short
2.052427795183725,65,short
1.6,46,short
3.63890707205364,80,long
4.539280625855298,75,long
1.942456244267435,64,short
4.262670730263216,78,long
4.250258764096244,84,long
2.064918012776308,44,short
4.209706618900866,73,long
2.355016845919198,44,short
2.067918922148004,61,short
4.091361777278478,82,long
2.08987912922257,56,short
4.008351134387372,90,long
4.275022464427791,83,long
4.909225538728199,74,long
2.22611535025246,51,short
4.534123627569079,73,long
3.751689883596455,82,long
1.6,49,short
4.43766425094256,79,long
2.343219744078887,65,short
4.655124688753401,79,long
3.942054474845012,81,long
4.18811243473063,83,long
4.509330348084623,79,long
5.069223207442181,76,long
1.711331096726466,59,short
3.943246330826019,80,long
3.836869436513162,76,long
3.918637390396122,87,long
3.466522391126972,78,long
4.119036342222657,82,long
1.6,63,short
3.900131299545899,89,long
1.914967855384584,67,short
2.228189024238311,61,short
2.300654016129837,61,short
4.502716919893146,81,long
4.640609274657669,80,long
4.430571781608752,78,long
2.325385716488028,64,short
4.65607765365093,80,long
4.107426221830464,77,long
1.946326410728129,65,short
4.513018882910787,88,long
2.109196646995906,44,short
4.438019315505815,80,long
3.767213729056388,79,long
4.479174136102374,77,long
2.077991862270978,47,short
2.279182828544358,64,short
2.192558656569963,48,short
4.661871819293464,81,long
3.886351966306619,81,long
3.734390221989589,81,long
4.316526942401563,74,long
4.78170407777592,72,long
2.078574680222801,63,short
3.463339753243915,59,short
2.236414716234981,49,short
1.881535000606658,47,short
4.639668966797903,69,long
4.371667726697905,74,long
1.6,53,short
4.097160470509634,85,long
5.1,77,long
1.984922485601939,63,short
3.89871531292383,70,long
4.578842109049526,77,long
4.529456885558365,88,long
4.267672856267674,84,long
4.582541414191427,80,long
4.328091446836945,74,long
5.006046897182744,69,long
4.897943129860857,83,long
4.045078851256495,76,long
4.220385261998194,80,long
4.211727750938058,77,long
2.561023036534809,62,short
4.820963902299177,81,long
3.812568133770071,84,long
4.332008815317894,80,long
2.294704670455651,44,short
1.6,48,short
1.90032680320239,62,short
3.933504795219661,88,long
4.243135126091588,81,long
4.609486585907329,80,long
2.174209264759921,62,short
4.381443107818383,81,long
4.098392640215133,88,long
2.058545605527278,65,short
3.533433826386227,50,short
3.834826211661765,86,long
2.323622629337277,55,short
4.029158550260046,79,long
4.535638951957519,76,long
4.521506181999992,84,long
5.000385918592239,80,long
4.435881843813778,74,long
2.235520444792584,57,short
4.09670149099165,83,long
3.996624159378503,78,long
1.6,65,short
4.570296697453843,77,long
4.634037009884816,82,long
1.973533617365318,59,short
4.345241490754872,84,long
4.975550209080557,77,long
3.954319953323604,76,long
1.79869211877463,47,short
3.84754240732064,82,long
1.716209713544539,45,short
4.184219954570057,77,long
3.557306596280882,80,long
4.606868181285549,82,long
3.974400606748626,76,long
1.959313333466246,59,short
1.977221910718135,54,short
1.723592759563053,51,short
4.475851795923703,88,long
2.057264695600178,43,short
4.541913141755719,78,long
2.226556412964349,59,short
3.323593382210764,73,long
4.09511559888531,83,long
4.029926071394922,76,long
4.252056761299714,82,long
4.16918392211172,70,long
4.20547588183619,82,long
4.370719506142236,75,long
4.315265881140618,81,long
4.175926913021784,88,long
3.961025842589642,78,long
4.980560455511538,77,long
4.014746117437378,85,long
3.789357561444515,77,long
1.893705882350155,65,short
4.503297504616365,73,long
4.432842971227961,93,long
2.401625333031706,58,short
2.046740869487186,46,short
4.325428623504994,77,long
3.751755749817449,86,long
3.894138091313121,83,long
2.589066637839651,47,short
2.799308594596017,86,long
1.951683329356795,49,short
4.432534603073021,84,long
5.1,76,long
4.891109628978831,78,long
2.385533902568399,63,short
4.388511727474495,75,long
2.024229005205038,66,short
4.913613898864218,76,long
3.970928106841675,78,long
1.6,55,short
5.1,79,long
2.062674960718225,50,short
4.181237647020342,76,long
4.392172324761472,74,long
2.32987826651419,51,short
1.849299167494486,60,short
4.097723386175453,86,long
4.894321338244461,73,long
3.361031136508468,77,long
5.083214098351358,84,long
2.655600431110655,43,short
4.913092583913159,85,long
4.7038833878567,80,long
2.053817117276411,56,short
4.169952488515346,85,long
3.922941622935692,73,long
4.060796417453564,83,long
1.713156746502268,50,short
4.861155703511735,75,long
4.759437346948214,80,long
3.984811604188703,86,long
4.786877137379637,85,long
2.586509543253256,52,short
4.072352311384487,79,long
4.056844543427316,79,long
4.628444511129546,79,long
4.131476590620777,85,long
4.655377946586956,82,long
4.266972559095132,89,long
3.681533091885508,76,long
4.968340622525646,76,long
3.81092569699638,75,long
4.653257791639049,87,long
1.981812149539601,45,short
1.701080174696376,44,short
4.869807367172982,79,long
4.292430391726629,93,long
5.014978620460402,86,long
4.343495730905948,80,long
1.6,54,short
4.809319865517668,84,long
1.86202046368688,44,short
2.342736126342972,47,short
4.03710310517923,82,long
4.102115126838754,76,long
2.179333529941838,45,short
3.981312848181419,77,long
2.895546515092734,61,short
4.770477409031016,81,long
4.90477930491201,84,long
4.415228591693927,68,long
4.639781522463257,91,long
2.296416199143272,46,short
4.735075231517628,76,long
3.858715771845003,82,long
2.263735353752924,46,short
4.08546928205219,81,long
2.02946656925119,65,short
1.823424703993267,59,short
4.109925297910891,76,long
2.037042337679978,66,short
2.539598040577871,56,short
2.677910072103765,55,short
3.588800553822395,80,long
4.460566039130449,77,long
1.6,43,short
2.133891486256477,46,short
