sentence,label,idx
"a swashbuckling tale of love , betrayal , revenge and above all , faith .",0,537
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .",1,375
"an effectively creepy , fear-inducing ( not fear-reducing ) film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .",1,201
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .,1,440
funny but perilously slight .,0,14
there has always been something likable about the marquis de sade .,1,649
it 's fascinating to see how bettany and mcdowell play off each other .,1,678
will amuse and provoke adventurous adults in specialty venues .,0,340
"like leon , it 's frustrating and still oddly likable .",0,31
"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized .",0,861
"visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it .",1,501
it 's a lovely film with lovely performances by buy and accorsi .,1,481
"so much facile technique , such cute ideas , so little movie .",1,717
"even in its most tedious scenes , russian ark is mesmerizing .",1,780
it 's a grab bag of genres that do n't add up to a whole lot of sense .,0,219
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) .",1,619
why make a documentary about these marginal historical figures ?,1,589
"one of those energetic surprises , an original that pleases almost everyone who sees it .",1,419
indifferently implausible popcorn programmer of a movie .,1,590
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,1,94
"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right .",0,137
holden caulfield did it better .,1,270
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .,1,404
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,0,550
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .,1,627
"a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .",1,823
directed in a paint-by-numbers manner .,0,756
at once half-baked and overheated .,0,483
"( e ) ventually , every idea in this film is flushed down the latrine of heroism .",0,275
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here .",0,456
his healthy sense of satire is light and fun ...,0,703
"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy .",1,553
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable .,1,522
` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ',0,598
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .,0,792
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .",1,733
i 'd have to say the star and director are the big problems here .,1,543
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,0,124
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .",0,308
... the film suffers from a lack of humor ( something needed to balance out the violence ) ...,0,89
"( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short .",0,701
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .,1,346
this nickleby thing might have more homosexual undertones than an eddie murphy film .,1,346
"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater .",0,107
"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .",1,455
it 's a charming and often affecting journey .,0,96
"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks .",0,595
"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .",0,525
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",1,826
overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube .,0,533
"it 's a cookie-cutter movie , a cut-and-paste job .",1,329
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .",0,498
"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .",1,344
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .,0,68
"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand .",1,834
"thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .",0,584
leigh 's film is full of memorable performances from top to bottom .,1,839
"at its worst , it implodes in a series of very bad special effects .",0,123
"immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch .",1,170
a subject like this should inspire reaction in its audience ; the pianist does not .,0,82
an unclassifiably awful study in self - and audience-abuse .,0,321
it 's a buggy drag .,0,805
serving sara does n't serve up a whole lot of laughs .,0,700
( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .,0,701
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .",0,572
"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together .",1,250
"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal .",1,57
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .",1,57
no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes .,0,505
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script .",1,370
but it still jingles in the pocket .,1,429
... is an arthritic attempt at directing by callie khouri .,1,528
directed in a paint-by-numbers manner .,0,426
"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you .",0,668
moretti 's compelling anatomy of grief and the difficult process of adapting to loss .,1,864
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters,0,559
an unwise amalgam of broadcast news and vibes .,0,542
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,1,351
"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . ''",0,528
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",1,8
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career .",0,73
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",1,124
"a warm but realistic meditation on friendship , family and affection .",1,834
the primitive force of this film seems to bubble up from the vast collective memory of the combatants .,0,148
it 's refreshing to see a girl-power movie that does n't feel it has to prove anything .,0,174
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",0,709
"the title not only describes its main characters , but the lazy people behind the camera as well .",1,689
villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) .,1,815
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness .",1,454
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...,0,757
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises,1,418
"manages to transcend the sex , drugs and show-tunes plot into something far richer .",0,597
"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away .",1,314
"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .",1,202
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",0,330
"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .",1,668
"by candidly detailing the politics involved in the creation of an extraordinary piece of music , ( jones ) calls our attention to the inherent conflict between commerce and creativity .",1,19
"yes , dull .",0,601
"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck .",1,125
"it 's played in the most straight-faced fashion , with little humor to lighten things up .",0,418
the chateau cleverly probes the cross-cultural differences between gauls and yanks .,1,175
manages to show life in all of its banality when the intention is quite the opposite .,0,403
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",1,278
"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill .",1,610
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .",0,724
"not only unfunny , but downright repellent .",1,629
"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises .",1,535
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization .",1,800
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .",1,613
"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .",1,127
"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all .",0,393
"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting .",1,373
not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers .,1,69
it 's a stunning lyrical work of considerable force and truth .,0,370
"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .",0,835
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",1,663
american chai encourages rueful laughter at stereotypes only an indian-american would recognize .,1,150
"anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity .",0,355
"the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque .",1,716
"an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",0,347
the only excitement comes when the credits finally roll and you get to leave the theater .,1,599
"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .",1,729
"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",0,404
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .",1,395
people cinema at its finest .,1,173
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script .",1,397
his healthy sense of satire is light and fun ...,0,201
a woman 's pic directed with resonance by ilya chaiken .,1,770
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .,0,161
"if you 're hard up for raunchy college humor , this is your ticket right here .",1,158
reign of fire looks as if it was made without much thought -- and is best watched that way .,1,298
good old-fashioned slash-and-hack is back !,1,490
"every time you look , sweet home alabama is taking another bummer of a wrong turn .",0,627
"what is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting .",0,296
good old-fashioned slash-and-hack is back !,0,630
travels a fascinating arc from hope and euphoria to reality and disillusionment .,1,163
"majidi is an unconventional storyteller , capable of finding beauty in the most depressing places .",1,100
