sentence,label,idx
The book is boring.,1,389
Did the child be in the school?,1,746
Susan whispered at Rachel.,1,16
The cat got bitten.,1,234
"Bill bought a red house, and Max bought one too.",0,880
Soaring temperatures are predicted for this weekend.,1,680
Vote for you!,0,59
Which book did each author recommend?,0,373
Which girl did Mike quip never wore this hat?,0,597
Books were taken from no student and given to Mary.,0,596
Everyone who knows either Susan or Laura likes her.,1,319
Who do you think Tom saw?,1,405
"John and someone were dancing together, but I don't know who.",0,97
They yelled.,1,427
The cat was bitten the mouse.,1,857
Linda winked her lip.,1,615
John whispered Mary left.,1,234
The visitor rang the bell.,1,94
The book what inspired them was very long.,1,488
On whom are you counting to incriminate himself?,1,182
John talked to Bill about himself.,1,301
John was struck as sick.,1,574
Emma made Harriet some food.,1,352
Came right in he did without so much as a knock.,1,62
Dana walking and Leslie running.,1,307
I gave Pete the book to impress.,1,703
Nobody likes us.,0,367
John decided Bill to get the prize.,1,168
"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which.",1,471
Nobody saw Pat.,1,459
Most of the fruit is rotten.,1,19
"No writer, nor any playwright, meets in Vienna.",0,304
That kind of person is hard to find anyone to look after.,1,19
John felt it that Bill was tardy.,1,917
We arrived about six o'clock,0,599
Tabs are kept on suspected drug dealers by the FBI.,1,12
Which girl did Mike quip never wore this hat?,1,10
there is nothing to do.,1,799
Brian threw the fence with the stick.,1,250
The paper was written by John up.,1,635
We believed John to be a fountain in the park.,1,495
Anson believed himself to be handsome.,1,227
The horse kicked me black and blue.,0,401
John considers Bill silly.,0,934
Sharon fainted from hunger.,1,140
The earth was believed to be round.,1,788
"That he was hungry, John whined.",1,168
The bills passed by the House yesterday that we objected to were vetoed.,0,530
1 gave Mary after the party a book.,0,249
To leave would be a pleasure.,1,285
The birds gives the worm a tug.,1,422
It was the peasant girl who got it.,1,314
John gave Bill the dog dead.,1,204
Each of the boys fought with some of the other boys.,1,189
The child put the toy on the table.,0,381
The rules require that the executives be polite.,1,902
John left singing.,1,205
List all experts for the defendant who represented himself.,0,717
The book is boring.,1,782
"The newspaper has reported that they are about to appoint someone, but I can't remember who they are about to appoint.",0,476
The police sprayed the protesters with water.,1,624
Advantage is taken of every opportunity for improvement.,1,451
John made Bill mad at himself.,1,954
Fido barks.,1,233
"Bill wondered how many papers Sandy had read, but he didn't care which ones.",1,1014
John lay the ball in the box.,0,462
Pat is hate Chris.,1,599
I know you like the back of my hand.,1,879
