sentence1,sentence2,label,idx
A woman peels a potato.,"In general, warming up your muscles only requires performing the movement with lower weights.",3.602554686797639,1312
"The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.",A man practices boxing,1.182135037208925,404
A group of people playing soccer on a soccer field in front of a crowd.,I'm writing here a few tips that can help you with motivation.,1.027263750478443,572
The bird is sitting on the branch.,A monkey pratices martial arts.,1.449352231842717,128
This idea has been around since the beginning of myth and storytelling.,The man is stirring the rice.,0.91451122336161,131
"The Standard & Poor's 500 stock index ended the quarter up 120 points, a gain of 14 percent, the best performance for that broad market benchmark since 1998.",Its going to depend on the type of packaging and also the freezer.,3.897495798633831,1385
Rosberg emulates father with Monaco win,There are a few airlines which operate flights at lower fares.,1.513324803147201,1249
Bombings kill 9 people in Iraqi capital,A group of people standing near a small child sitting on a horse.,1.788566672275839,1061
A man is dancing.,Greece looks set for repeat election,2.573535257680448,777
"It's true that, under one understanding of ""accessibility"" and ""determining"", your accessibility relation is determined by your axioms.",At least 78 killed in Pakistan church bombing,2.731883783451425,153
The reason for this is that Russian is a much more tonal language than English.,"According to the State Department list, about 25 nations have signed bilateral agreements in the past four months, about half in the past three weeks.",0.136923233528816,669
The plane was estimated to be within 100 pounds of its maximum takeoff weight.,From an article entitled Can You Call a 9-Year-Old a Psychopath?,0.870437749837979,788
A bull standing in the field.,Several children and jumping on a trampoline in the snow.,4.117753954765824,476
Public employees can unionize because the law allows them to.,One general key to not feeling dejected is to avoid comparing yourself to others.,3.608832810474658,627
"Yes, but it does not stay in the same constellation.",A grains management committee normally meets each Thursday in the Commission's agriculture unit -- another target of Wednesday's raids -- to decide the outcome of a weekly export tender.,0.380558438976951,699
"The pound also made progress against the dollar, reached fresh three-year highs at $1.6789.","Nine seconds later, SpaceShipOne broke the sound barrier, the company said.",1.221093622839934,283
Glorious triple-gold night for Britain,Malawi confirms President Mutharika's death,1.457035103598372,18
A caveat: I'm experiencing the tail end of a three day migraine.,"Chief Executive Mickey Robinson was fired for cause in September, the company said last month.",3.108940887474915,1107
"I feel your pain - I absolutely pour with sweat with any vigorous exercise, even in cool conditions.",A red double decker bus on a crowded street.,2.796891843248362,1068
A man is passionately playing a guitar in front of an audience.,Philippines government says peace talks with communists have failed,3.153294033068973,553
A woman is cooking meat.,A man is sprinkling shredded cheese on a pizza.,1.50384594497799,1361
