total_bill,tip,sex,smoker,day,time,size
25.71,4.0,Female,No,Sun,Dinner,3
17.78,3.27,Male,No,Sat,Dinner,2
7.25,1.0,Female,No,Sat,Dinner,1
11.87,1.63,Female,No,Thur,Lunch,2
18.24,3.76,Male,No,Sat,Dinner,2
20.29,2.75,Female,No,Sat,Dinner,2
20.27,2.83,Female,No,Thur,Lunch,2
5.75,1.0,Female,Yes,Fri,Dinner,2
32.9,3.11,Male,Yes,Sun,Dinner,2
17.51,3.0,Female,Yes,Sun,Dinner,2
25.28,5.0,Female,Yes,Sat,Dinner,2
16.43,2.3,Female,No,Thur,Lunch,2
24.59,3.61,Female,No,Sun,Dinner,4
13.03,2.0,Male,No,Thur,Lunch,2
16.99,1.01,Female,No,Sun,Dinner,2
38.07,4.0,Male,No,Sun,Dinner,3
12.9,1.1,Female,Yes,Sat,Dinner,2
15.98,3.0,Female,No,Fri,Lunch,3
7.56,1.44,Male,No,Thur,Lunch,2
28.15,3.0,Male,Yes,Sat,Dinner,5
39.42,7.58,Male,No,Sat,Dinner,4
15.69,1.5,Male,Yes,Sun,Dinner,2
9.55,1.45,Male,No,Sat,Dinner,2
16.97,3.5,Female,No,Sun,Dinner,3
48.17,5.0,Male,No,Sun,Dinner,6
18.78,3.0,Female,No,Thur,Dinner,2
48.17,5.0,Male,No,Sun,Dinner,6
24.59,3.61,Female,No,Sun,Dinner,4
13.27,2.5,Female,Yes,Sat,Dinner,2
16.27,2.5,Female,Yes,Fri,Lunch,2
20.29,3.21,Male,Yes,Sat,Dinner,2
8.51,1.25,Female,No,Thur,Lunch,2
16.29,3.71,Male,No,Sun,Dinner,3
7.25,1.0,Female,No,Sat,Dinner,1
32.83,1.17,Male,Yes,Sat,Dinner,2
18.28,4.0,Male,No,Thur,Lunch,2
15.04,1.96,Male,No,Sun,Dinner,2
25.21,4.29,Male,Yes,Sat,Dinner,2
17.46,2.54,Male,No,Sun,Dinner,2
31.71,4.5,Male,No,Sun,Dinner,4
29.03,5.92,Male,No,Sat,Dinner,3
3.07,1.0,Female,Yes,Sat,Dinner,1
20.49,4.06,Male,Yes,Sat,Dinner,2
10.63,2.0,Female,Yes,Sat,Dinner,2
44.3,2.5,Female,Yes,Sat,Dinner,3
10.33,2.0,Female,No,Thur,Lunch,2
16.93,3.07,Female,No,Sat,Dinner,3
15.04,1.96,Male,No,Sun,Dinner,2
13.81,2.0,Male,No,Sun,Dinner,2
31.27,5.0,Male,No,Sat,Dinner,3
8.58,1.92,Male,Yes,Fri,Lunch,1
17.47,3.5,Female,No,Thur,Lunch,2
17.81,2.34,Male,No,Sat,Dinner,4
15.06,3.0,Female,No,Sat,Dinner,2
38.07,4.0,Male,No,Sun,Dinner,3
17.46,2.54,Male,No,Sun,Dinner,2
18.69,2.31,Male,No,Sat,Dinner,3
20.45,3.0,Male,No,Sat,Dinner,4
11.17,1.5,Female,No,Thur,Lunch,2
34.81,5.2,Female,No,Sun,Dinner,4
21.7,4.3,Male,No,Sat,Dinner,2
17.81,2.34,Male,No,Sat,Dinner,4
27.18,2.0,Female,Yes,Sat,Dinner,2
41.19,5.0,Male,No,Thur,Lunch,5
48.17,5.0,Male,No,Sun,Dinner,6
16.0,2.0,Male,Yes,Thur,Lunch,2
15.53,3.0,Male,Yes,Sat,Dinner,2
16.29,3.71,Male,No,Sun,Dinner,3
15.81,3.16,Male,Yes,Sat,Dinner,2
16.04,2.24,Male,No,Sat,Dinner,3
16.58,4.0,Male,Yes,Thur,Lunch,2
17.82,1.75,Male,No,Sat,Dinner,2
14.0,3.0,Male,No,Sat,Dinner,2
22.49,3.5,Male,No,Fri,Dinner,2
23.33,5.65,Male,Yes,Sun,Dinner,2
34.63,3.55,Male,Yes,Sun,Dinner,2
15.77,2.23,Female,No,Sat,Dinner,2
17.92,4.08,Male,No,Sat,Dinner,2
39.42,7.58,Male,No,Sat,Dinner,4
29.03,5.92,Male,No,Sat,Dinner,3
20.23,2.01,Male,No,Sat,Dinner,2
19.49,3.51,Male,No,Sun,Dinner,2
9.6,4.0,Female,Yes,Sun,Dinner,2
25.0,3.75,Female,No,Sun,Dinner,4
14.73,2.2,Female,No,Sat,Dinner,2
17.78,3.27,Male,No,Sat,Dinner,2
17.92,4.08,Male,No,Sat,Dinner,2
16.0,2.0,Male,Yes,Thur,Lunch,2
20.29,3.21,Male,Yes,Sat,Dinner,2
17.81,2.34,Male,No,Sat,Dinner,4
23.1,4.0,Male,Yes,Sun,Dinner,3
14.83,3.02,Female,No,Sun,Dinner,2
29.8,4.2,Female,No,Thur,Lunch,6
14.78,3.23,Male,No,Sun,Dinner,2
20.69,2.45,Female,No,Sat,Dinner,4
26.86,3.14,Female,Yes,Sat,Dinner,2
13.81,2.0,Male,Yes,Sat,Dinner,2
11.35,2.5,Female,Yes,Fri,Dinner,2
24.55,2.0,Male,No,Sun,Dinner,4
11.17,1.5,Female,No,Thur,Lunch,2
28.17,6.5,Female,Yes,Sat,Dinner,3
16.66,3.4,Male,No,Thur,Lunch,2
