Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
amc hornet,20.6,5,317.0,163,3156,17.9,1970-01-01,USA
ford ltd landau,21.0,7,199.0,196,3436,15.3,1970-01-01,USA
opel manta,20.2,4,159.0,129,1961,12.4,1970-01-01,Europe
buick century,16.3,5,159.0,64,4795,16.6,1970-01-01,USA
plymouth reliant,14.4,5,250.0,146,3241,15.1,1970-01-01,USA
pontiac grand prix,25.1,7,231.0,138,1645,12.2,1970-01-01,USA
ford escort 2h,15.6,4,171.0,53,5069,13.9,1970-01-01,USA
renault 12tl,17.5,4,164.0,194,2825,14.9,1970-01-01,Europe
plymouth satellite,9.1,7,436.0,147,4078,14.2,1970-01-01,USA
oldsmobile cutlass salon brougham,21.4,4,414.0,80,3019,18.5,1970-01-01,USA
amc hornet sportabout (sw),13.4,8,277.0,49,2979,12.3,1970-01-01,USA
toyota corona hardtop,17.0,5,230.0,144,2432,20.6,1970-01-01,Japan
amc pacer,19.7,6,283.0,160,3737,17.8,1970-01-01,USA
ford ltd,9.9,5,244.0,50,2162,13.8,1970-01-01,USA
peugeot 504,25.3,4,320.0,62,2769,12.4,1970-01-01,Europe
datsun 200-sx,13.2,4,139.0,118,2240,12.5,1970-01-01,Japan
buick skyhawk,13.6,4,359.0,52,2710,14.6,1970-01-01,USA
pontiac lemans v6,9.6,4,240.0,62,3205,16.0,1970-01-01,USA
ford granada,9.6,5,384.0,154,4222,17.7,1970-01-01,USA
datsun f-10 hatchback,12.7,4,174.0,90,2627,11.8,1970-01-01,Japan
plymouth arrow gs,24.7,6,349.0,201,3221,21.1,1970-01-01,USA
plymouth fury iii,14.4,7,103.0,188,2980,13.8,1970-01-01,USA
toyota corolla,15.6,4,352.0,119,2144,18.2,1970-01-01,Japan
chevrolet monte carlo,11.6,6,169.0,148,3550,17.4,1970-01-01,USA
chevrolet vega,22.2,4,275.0,126,1976,13.7,1970-01-01,USA
chevrolet chevette,,7,196.0,161,2949,15.4,1970-01-01,USA
volkswagen 1131 deluxe sedan,21.5,4,273.0,74,2441,15.6,1970-01-01,Europe
toyota celica gt liftback,19.5,5,215.0,123,2550,18.5,1970-01-01,Japan
chrysler lebaron town @ country (sw),21.1,8,319.0,114,3289,11.0,1970-01-01,USA
fiat x1.9,20.0,4,432.0,108,2421,16.6,1970-01-01,Europe
ford f108,23.7,5,370.0,69,2978,20.7,1970-01-01,USA
buick estate wagon (sw),19.4,7,365.0,90,2344,11.8,1970-01-01,USA
toyota celica gt,21.8,5,330.0,125,2327,11.5,1970-01-01,Japan
amc gremlin,25.8,8,155.0,88,3993,12.9,1970-01-01,USA
peugeot 304,22.3,4,334.0,,1840,14.6,1970-01-01,Europe
ford maverick,19.2,6,355.0,,2875,15.2,1970-01-01,USA
nissan stanza xe,18.6,4,413.0,137,1978,13.3,1970-01-01,Japan
fiat 124 sport coupe,15.7,4,226.0,137,1849,12.8,1970-01-01,Europe
