state,id,population,engineers,hurricanes
Maine,1,1510085,0.002290686,6
District of Columbia,2,2353954,0.011759179,0
Alaska,3,4844970,0.001590524,0
Nevada,4,13691023,0.002037375,0
Delaware,5,7342284,0.004989155,2
Pennsylvania,6,12666527,0.004237253,1
South Carolina,7,1746548,0.002084207,31
North Carolina,8,4006208,0.004226953,46
Louisiana,9,2325287,0.001176931,49
Illinois,10,24852061,0.004478368,0
Georgia,11,3490763,0.004939686,20
Washington,12,1513458,0.010710757,0
Kansas,13,3139991,0.003811111,0
Mississippi,14,5186624,0.000933508,15
Minnesota,15,1904318,0.006193894,0
Michigan,16,1512533,0.003876797,0
Arkansas,17,12758098,0.002439557,0
Wisconsin,18,3341451,0.004821147,0
Vermont,19,2684723,0.004643016,0
Iowa,20,3338662,0.003716472,0
Kentucky,21,1502882,0.002089262,0
Massachusetts,22,6226229,0.010230808,10
Montana,23,3639758,0.002139048,0
New Hampshire,24,8978559,0.00633056,2
Puerto Rico,25,2321422,0.000773897,0
Nebraska,26,7660616,0.005621053,0
Virginia,27,6636553,0.008595061,12
Oklahoma,28,23522002,0.002286188,0
South Dakota,29,2357567,0.003085086,0
Ohio,30,8019740,0.004095787,0
Wyoming,31,3187173,0.001007684,0
New York,32,14398872,0.004941432,12
Missouri,33,9011353,0.004413261,0
Colorado,34,3779451,0.008087652,0
Indiana,35,616817,0.002724236,0
Hawaii,36,3002461,0.001624016,0
Oregon,37,6154890,0.005457479,0
California,38,1821896,0.007125857,0
Tennessee,39,5064649,0.002375513,0
Florida,40,1342184,0.003299949,110
Maryland,41,4997483,0.006291088,2
Arizona,42,698792,0.004774154,0
Rhode Island,43,5843215,0.004581485,9
Texas,44,2973996,0.004320129,59
West Virginia,45,6390869,0.00128338,0
Alabama,46,2271141,0.003421545,22
New Mexico,47,2300182,0.001883696,0
Utah,48,11735404,0.006440053,0
Idaho,49,4853026,0.002970638,0
New Jersey,50,6144202,0.007724327,2
Connecticut,51,4166986,0.005896906,10
North Dakota,52,2832759,0.003403909,0
