method,number,orbital_period,mass,distance,year
Radial Velocity,1,675.0,,100.0,2007
Radial Velocity,1,615.0,0.29,35.88,2011
Radial Velocity,1,1289.0,,,2002
Radial Velocity,1,2.391,15.5,76.51,2009
Transit,5,267.291,,368.0,2013
Imaging,1,4639.15,,,2009
Transit,1,1.7429935,,200.0,2008
Transit,1,1.420033,,,2010
Radial Velocity,1,2082.0,,97.66,2013
Radial Velocity,3,962.0,0.64,26.15,2008
Radial Velocity,1,2.64561,0.022,19.8,2010
Eclipse Timing Variations,2,5767.0,,130.72,2008
Transit,1,3.54846,,,2009
Transit,1,1.4857108,,800.0,2011
Radial Velocity,2,345.72,1.42,44.8,2009
Radial Velocity,2,4.0845,0.07167000000000001,37.84,2008
Radial Velocity,3,123.0,,,2014
Transit,2,31.884,,,2013
Radial Velocity,2,201.83,3.1548,25.7,2008
Transit,2,,,1200.0,2011
Radial Velocity,1,2502.0,1.55,3.22,2000
Radial Velocity,1,,1.5,,2006
Eclipse Timing Variations,2,1916.25,,,2011
Transit,1,3.6313,,,2011
Radial Velocity,1,3.48777,,80.0,2000
Radial Velocity,1,131.05,9.71,35.37,2011
Radial Velocity,1,3416.0,,4.94,2008
Radial Velocity,2,2500.0,7.0,121.36,2008
Transit,1,3.474474,,387.0,2011
Transit,1,10.863502,,190.0,2010
Radial Velocity,1,2.985625,0.4,43.53,2002
Radial Velocity,2,263.3,0.27,15.71,2010
Radial Velocity,2,7100.0,,15.1,2011
Radial Velocity,1,2.64385,,10.23,2004
Radial Velocity,1,610.0,,170.07,2009
Transit,1,0.813475,,80.0,2011
Imaging,1,730000.0,,,2006
Transit,2,11.776,,,2013
Radial Velocity,2,110.9,,,2010
Radial Velocity,1,663.0,3.3,115.47,2009
Transit,3,9.605085,,135.0,2012
Transit,1,3.7681,,920.0,2011
Radial Velocity,2,37.91,0.0788,33.98,2008
Transit,1,4.641878,,447.0,2012
Radial Velocity,2,2140.2,,,2000
Radial Velocity,1,121.71,,,2014
Transit,5,18.16406,,368.0,2013
Imaging,4,69000.0,,39.94,2008
Transit,1,8.884924,,1140.0,2013
Imaging,1,8679.7,,,2009
Transit,1,1.3371182,,,2011
Radial Velocity,1,16.2,,223.21,2010
Radial Velocity,2,1749.5,,37.88,2000
