date,open,high,low,close,signal,ret
2009-06-01,29.91,27.31,24.51,25.79,long,2.498812620190615
2009-06-01,25.42,29.58,25.03,29.08,long,0.10626132920804
2009-06-03,27.93,31.83,23.16,30.73,short,14.209117773261799
2009-06-04,30.98,32.6,28.09,28.12,short,3.609651189060893
2009-06-05,29.9,29.35,27.76,29.31,neutral,-1.909867696357483
2009-06-08,28.84,31.02,26.02,28.71,short,0.957245513428489
2009-06-08,24.07,28.24,23.93,24.23,short,9.104831960197467
2009-06-11,27.54,32.87,26.71,32.5,short,12.391593187416465
2009-06-15,26.67,31.13,24.99,26.67,short,3.294970431467386
2009-06-17,25.86,31.08,24.86,30.58,short,4.6129529708241
2009-06-17,28.51,32.26,26.12,30.55,short,-3.340644768596595
2009-06-17,24.69,29.95,24.57,28.98,long,0.228982442930924
2009-06-18,28.96,31.82,28.69,29.38,long,-4.476798678763205
2009-06-22,28.96,31.37,24.51,28.33,long,6.66395833940696
2009-06-22,25.17,30.5,24.82,27.06,neutral,-5.6580003850898
2009-06-24,25.33,26.44,23.89,24.16,long,-7.221713593579722
2009-06-26,25.62,32.59,23.9,30.08,long,4.142370944793648
2009-07-01,29.65,31.58,23.87,31.25,short,8.283290993598005
2009-07-02,25.52,31.91,24.03,27.61,long,6.841059144483207
2009-07-06,25.15,28.77,24.77,26.21,long,3.928343823688913
2009-07-07,30.63,28.68,26.45,26.66,short,-6.593876361024227
2009-07-09,30.37,32.03,25.42,31.83,long,-10.44035263437093
2009-07-09,28.92,30.49,25.37,27.5,short,11.61393657161269
2009-07-10,28.48,27.28,24.1,25.94,long,7.713229848097942
2009-07-10,25.05,27.03,23.73,27.0,long,-8.131328739245596
2009-07-10,30.95,32.37,24.96,29.83,long,-2.171752507210501
2009-07-13,29.95,29.81,24.94,27.84,long,0.72277772416745
2009-07-13,26.61,29.96,24.14,28.83,long,-3.570098062656555
2009-07-13,29.06,30.65,27.04,27.8,long,6.927145543982096
2009-07-14,27.14,31.21,24.3,24.44,short,-5.756759805273378
2009-07-15,26.56,30.41,25.01,25.94,long,-10.356371231193455
2009-07-15,24.0,30.49,23.01,27.35,long,6.588646137285277
2009-07-15,28.81,30.98,25.49,26.31,short,-5.542261951377949
2009-07-16,30.92,32.34,23.22,27.4,short,4.076000320000589
2009-07-16,26.69,31.72,23.86,26.91,short,11.053379050138062
2009-07-20,27.26,28.98,23.55,26.77,short,-5.491068398657079
2009-07-20,29.7,29.77,24.71,25.52,long,6.785479655521907
2009-07-20,27.78,32.0,23.83,26.01,long,-5.289095189259436
2009-07-21,30.99,32.92,27.67,30.19,short,-6.14495498668748
2009-07-24,24.93,27.78,24.33,27.69,short,-4.040646398964667
2009-07-27,28.08,31.5,26.92,30.34,short,13.339684970386305
2009-07-29,26.21,30.03,24.04,25.16,short,11.40602134256618
2009-07-29,24.47,28.16,23.56,24.26,long,7.530512801412346
2009-07-30,30.19,31.07,23.44,27.64,long,-0.456166922275528
