id,name,parent,size
1,SelectionControl,220,5242
2,Colors,9,8249
3,ScaleType,51,13661
4,Scale,125,4591
5,DataSchema,133,5041
6,OperatorSequence,164,1620
7,RootScale,162,7002
8,MergeEdge,162,761
9,IRenderer,78,1140
10,SelectionControl,56,7114
11,Property,218,2930
12,Count,211,3165
13,Property,72,8137
14,Xor,231,1759
15,IOperator,42,433
16,operator,32,
17,Axes,200,6281
18,CircleLayout,95,
19,LineSprite,12,2320
20,ArrowType,44,14595
21,Scale,125,6161
22,Variance,78,24593
23,ShortestPaths,91,3395
24,IOperator,184,8188
25,Variable,198,803
26,Not,13,3787
27,Property,230,
28,IndentedTreeLayout,9,3379
29,If,168,
30,Orientation,87,1054
31,GraphMLConverter,105,1318
32,BinaryExpression,195,1580
33,HeapNode,50,2208
34,and,174,3709
35,Converters,139,5000
36,Not,140,308
37,render,211,5165
38,Spring,196,3462
39,SortOperator,15,2173
40,analytics,168,2527
41,And,44,571
42,DataSource,197,1810
43,MaxFlowMinCut,186,3099
44,Pause,61,1074
45,IsA,182,913
46,DataUtil,136,1367
47,ArrowType,163,1274
48,Geometry,10,9412
49,AxisGridLine,190,6682
50,ISchedulable,162,2505
51,cluster,110,1192
52,Transitioner,129,11434
53,DragForce,96,5428
54,operator,135,2536
55,DirtySprite,231,
56,Strings,231,942
57,PointInterpolator,221,397
58,ClickControl,36,2289
59,BifocalDistortion,227,1102
60,Parallel,178,2983
61,ControlList,159,
62,IndentedTreeLayout,80,480
63,DenseMatrix,1,1112
64,DirtySprite,63,413
65,TooltipEvent,92,1173
66,Comparison,105,1554
67,RadialTreeLayout,78,
68,Comparison,139,264
69,FisheyeDistortion,120,1816
70,add,5,1406
71,LineSprite,202,1622
72,Filter,197,955
73,Query,126,2013
74,DataEvent,172,455
75,Variance,116,2601
76,DateUtil,179,1088
77,variance,184,5024
78,converters,64,
79,data,188,264
80,Control,38,
81,MatrixInterpolator,133,1327
82,Expression,98,
83,Xor,158,6152
84,DataSet,151,
85,CompositeExpression,101,944
86,or,27,10766
87,HeapNode,227,24593
88,Average,16,419
89,JSONConverter,187,4863
90,ColorInterpolator,142,1188
91,Variable,115,1051
92,CartesianAxes,223,8474
93,flex,215,7235
94,Labeler,198,5788
95,HierarchicalCluster,28,10007
96,CommunityStructure,120,1221
97,update,35,1627
98,IPredicate,15,1012
99,SparseMatrix,128,1191
100,Tree,4,11422
101,distortion,14,2014
102,heap,106,1347
103,CirclePackingLayout,123,3435
104,or,80,2664
105,or,185,674
106,FunctionSequence,202,962
107,FisheyeDistortion,212,4724
108,IRenderer,51,
109,or,81,6464
110,ScaleBinding,151,624
111,Transition,34,
112,DataTable,16,9591
113,ColorPalette,62,8851
114,IRenderer,204,5252
115,Colors,116,3933
116,gte,208,
117,AnchorControl,4,2569
118,distinct,202,941
119,count,164,2908
120,HeapNode,121,4497
121,gt,112,1393
122,LegendRange,107,792
123,Axes,167,636
124,Fn,204,298
125,Labeler,101,11150
126,IndentedTreeLayout,33,2558
127,Spring,147,3421
128,Strings,16,1410
129,ColorEncoder,188,5286
130,Palette,192,10095
131,Average,160,3562
132,RadialTreeLayout,86,
133,CartesianAxes,102,5171
134,IEvaluable,181,2004
135,range,58,5983
136,display,33,3073
137,AxisLabel,195,
138,ShapePalette,131,7233
139,util,156,384
140,Legend,116,
141,filter,135,457
142,Scheduler,151,910
143,RadialLabeler,102,
144,VisibilityFilter,215,
145,PropertyEncoder,46,3402
146,sum,142,1640
147,flare,82,
148,flex,148,4391
149,GravityForce,168,365
150,IForce,157,661
151,AxisLabel,8,963
152,ColorInterpolator,185,11805
153,If,94,18339
154,interpolate,26,1209
155,SortOperator,52,2717
156,average,158,
157,DenseMatrix,8,1386
158,ShapeRenderer,24,3127
159,Operator,149,3019
160,or,72,865
161,sub,85,1161
162,HoverControl,131,4118
163,Strings,31,12741
164,DataTable,188,
165,GraphMLConverter,173,2420
166,axis,81,6412
167,mod,62,2796
168,Geometry,148,16381
169,DataSchema,226,2050
170,range,165,2089
171,sub,118,3733
172,Or,204,11247
173,palette,139,24593
174,AxisLayout,76,390
175,AxisLayout,209,684
176,OperatorSwitch,229,264
177,Fn,18,264
178,RectangleInterpolator,59,3527
179,range,143,5856
180,ShapeEncoder,41,882
181,gte,34,11069
182,DirtySprite,118,2991
183,Dates,122,13254
184,isa,35,8740
185,IRenderer,175,2330
186,Arrays,205,7771
187,Arrays,149,1813
188,cluster,196,675
189,ControlList,196,
190,GravityForce,132,
191,ClickControl,200,3035
192,Legend,229,723
193,BifocalDistortion,34,5442
194,StackedAreaLabeler,74,447
195,Tree,203,
196,QuantileScale,126,
197,StackedAreaLayout,79,968
198,Transitioner,139,12296
199,SelectionEvent,41,1085
200,IDataConverter,13,10845
201,display,78,3300
202,NBodyForce,195,4706
203,RadialTreeLayout,112,
204,and,157,3484
205,Distortion,161,738
206,TooltipControl,215,264
207,Sort,137,3509
208,NodeLinkTreeLayout,201,278
209,Data,109,1106
210,Range,141,7132
211,Distortion,227,2393
212,Operator,11,696
213,average,107,
214,ScaleBinding,91,18737
215,RandomLayout,56,
216,GraphMLConverter,145,4482
217,DataSource,221,3380
218,TooltipEvent,4,7943
219,Distortion,171,2880
220,IEvaluable,29,5244
221,mod,39,1392
222,Interpolator,114,2307
223,OperatorList,202,2693
224,Scheduler,34,293
225,If,19,1831
226,stddev,59,612
227,VisualizationEvent,208,12075
228,flex,188,4157
229,Visualization,161,1896
230,SelectionControl,19,
231,Maths,207,2016
232,optimization,225,1964
233,where,150,17013
234,DataTable,99,1383
235,DateInterpolator,16,264
236,Shapes,52,390
237,DelimitedTextConverter,227,944
238,ShapeEncoder,15,
239,CircleLayout,104,1602
240,AgglomerativeCluster,6,5605
241,iff,20,7290
242,gte,56,4014
243,Minimum,227,1718
244,ScaleType,51,1688
245,physics,48,2001
246,Xor,16,2071
247,data,129,2667
248,average,191,504
249,Colors,95,
250,Shapes,163,5103
251,LegendItem,32,5983
252,select,194,3785
