AAPL_x,AAPL_y
2014-01-02,76.54252473
2014-01-03,77.29663744
2014-01-04,74.93951454
2014-01-05,77.39734703
2014-01-06,77.99537028
2014-01-07,78.08932873
2014-01-08,80.75272885
2014-01-09,77.26898681
2014-01-10,79.11639742
2014-01-11,78.04460778
2014-01-12,81.68266471
2014-01-13,79.27483242
2014-01-14,79.71141301
2014-01-15,78.64969203
2014-01-16,80.35337231
2014-01-17,80.61575972
2014-01-18,79.13013971
2014-01-19,80.54982672
2014-01-20,81.3420828
2014-01-21,80.14126092
2014-01-22,82.2216472
2014-01-23,79.4219214
2014-01-24,82.97880183
2014-01-25,80.73772862
2014-01-26,82.46593712
2014-01-27,83.85468786
2014-01-28,81.75365761
2014-01-29,84.3715938
2014-01-30,82.30710365
2014-01-31,83.28096934
2014-02-01,82.75452023
2014-02-02,81.15523095
2014-02-03,83.29595296
2014-02-04,84.63109788
2014-02-05,86.57805031
2014-02-06,82.44249242
2014-02-07,86.74244744
2014-02-08,82.52700494
2014-02-09,85.41585649
2014-02-10,87.20069479
2014-02-11,83.6172281
2014-02-12,85.27567775
2014-02-13,83.57194775
2014-02-14,85.28031127
2014-02-15,87.67183506
2014-02-16,86.21999916
2014-02-17,86.41198196
2014-02-18,86.37047297
2014-02-19,86.78472161
2014-02-20,86.92660255
2014-02-21,87.38240271
2014-02-22,88.1077202
2014-02-23,85.84414457
2014-02-24,89.15827278
2014-02-25,88.79670091
2014-02-26,89.15170342
2014-02-27,87.83463208
2014-02-28,86.46824091
2014-03-01,86.00801963
2014-03-02,90.32503485
2014-03-03,89.85439774
2014-03-04,88.44030216
2014-03-05,90.74858367
2014-03-06,89.15687549
2014-03-07,89.13067669
2014-03-08,91.5474677
2014-03-09,88.53812017
2014-03-10,89.35223905
2014-03-11,90.1762088
2014-03-12,88.56280563
2014-03-13,91.87285835
2014-03-14,89.81968811
2014-03-15,89.78389405
2014-03-16,91.91338566
2014-03-17,90.90968054
2014-03-18,90.05786969
2014-03-19,90.18466929
2014-03-20,93.11596385
2014-03-21,91.00547882
2014-03-22,91.19242865
2014-03-23,93.46688415
2014-03-24,93.25861765
2014-03-25,92.49155008
2014-03-26,92.48874773
2014-03-27,92.76335374
2014-03-28,93.81575247
2014-03-29,93.18806585
2014-03-30,93.33295992
2014-03-31,92.71547246
2014-04-01,95.12974222
2014-04-02,95.77771247
2014-04-03,95.93181249
2014-04-04,96.1965129
2014-04-05,94.94293333
2014-04-06,97.11473356
2014-04-07,93.99517118
2014-04-08,93.77226939
2014-04-09,95.29819085
2014-04-10,93.67944556
2014-04-11,98.1618786
2014-04-12,94.52106859
2014-04-13,92.86603343
2014-04-14,94.85768795
2014-04-15,96.25137203
2014-04-16,96.34909796
2014-04-17,98.69596351
2014-04-18,98.42887994
2014-04-19,96.43637693
2014-04-20,97.5724161
2014-04-21,98.21591386
2014-04-22,96.60969079
2014-04-23,95.67933744
2014-04-24,101.02654617
2014-04-25,96.83070842
2014-04-26,100.90787142
2014-04-27,99.28685978
2014-04-28,96.75459839
2014-04-29,99.69243383
2014-04-30,98.29580387
2014-05-01,101.09477573
2014-05-02,98.94773674
2014-05-03,99.15975207
2014-05-04,99.57433107
2014-05-05,97.21508372
2014-05-06,101.18445453
2014-05-07,100.50807533
2014-05-08,101.31376125
2014-05-09,100.19792543
2014-05-10,101.89085413
2014-05-11,101.1646924
2014-05-12,101.31145644
2014-05-13,102.83952065
2014-05-14,103.75440683
2014-05-15,102.30369593
2014-05-16,102.2153909
2014-05-17,101.22798444
2014-05-18,101.15336118
2014-05-19,102.15602642
2014-05-20,103.48012394
2014-05-21,104.13269462
2014-05-22,100.55395461
2014-05-23,104.91626006
2014-05-24,102.81653586
2014-05-25,103.90492156
2014-05-26,104.15849322
2014-05-27,104.81918233
2014-05-28,105.10180106
2014-05-29,104.0426659
2014-05-30,105.35277439
2014-05-31,106.45310468
2014-06-01,105.18796515
2014-06-02,104.22495457
2014-06-03,105.55236635
2014-06-04,102.68649488
2014-06-05,104.1887115
2014-06-06,107.55234842
2014-06-07,105.52141383
2014-06-08,106.960546
2014-06-09,105.58175999
2014-06-10,106.9425443
2014-06-11,104.18946799
2014-06-12,106.81961684
2014-06-13,108.59863797
2014-06-14,104.5143975
2014-06-15,106.96721856
2014-06-16,106.84816736
2014-06-17,106.73530929
2014-06-18,109.20659915
2014-06-19,107.6294437
2014-06-20,110.1464267
2014-06-21,110.16422655
2014-06-22,108.20729152
2014-06-23,110.20744081
2014-06-24,110.44656079
2014-06-25,111.68205322
2014-06-26,109.70154009
2014-06-27,110.74029882
2014-06-28,109.67791985
2014-06-29,109.36099686
2014-06-30,110.19179843
2014-07-01,112.08986017
2014-07-02,111.4500664
2014-07-03,110.7413083
2014-07-04,112.10699959
2014-07-05,112.00650099
2014-07-06,111.83132938
2014-07-07,109.29099954
2014-07-08,110.88565104
2014-07-09,112.11907639
2014-07-10,113.51244518
2014-07-11,112.80604934
2014-07-12,113.45682255
2014-07-13,112.92911099
2014-07-14,114.10461355
2014-07-15,112.85593919
2014-07-16,112.87275526
2014-07-17,113.56548792
2014-07-18,112.82207602
2014-07-19,111.73560803
2014-07-20,115.01175572
2014-07-21,115.33400832
2014-07-22,114.00758372
2014-07-23,115.66498298
2014-07-24,115.74160123
2014-07-25,115.93742211
2014-07-26,115.69127177
2014-07-27,113.20398276
2014-07-28,115.4990606
2014-07-29,115.84427258
2014-07-30,113.99053093
2014-07-31,115.12517689
2014-08-01,116.11860571
2014-08-02,114.00444636
2014-08-03,116.24887348
2014-08-04,115.83212109
2014-08-05,116.67735459
2014-08-06,116.24038142
2014-08-07,118.45925242
2014-08-08,115.8423485
2014-08-09,118.11212302
2014-08-10,118.10878885
2014-08-11,118.26628454
2014-08-12,117.53810026
2014-08-13,117.30641772
2014-08-14,119.69907767
2014-08-15,118.68670733
2014-08-16,117.77016046
2014-08-17,121.01795979
2014-08-18,117.68291417
2014-08-19,122.00732188
2014-08-20,119.14964037
2014-08-21,120.18931271
2014-08-22,119.91254084
2014-08-23,120.94120491
2014-08-24,118.63967015
2014-08-25,121.36879885
2014-08-26,121.88812563
2014-08-27,122.54886767
2014-08-28,121.04454297
2014-08-29,119.24529644
