Date,Extent
1980-01-01,16.393
1980-01-02,16.294
1980-01-03,6.514
1980-01-04,4.376
1980-01-05,7.175
1980-01-06,9.634
1980-01-07,10.324
1980-01-08,7.672
1980-01-09,13.718
1980-01-10,11.924
1980-01-11,13.911
1980-01-12,14.495
1980-01-13,12.84
1980-01-14,3.653
1980-01-15,13.704
1980-01-16,6.435
1980-01-17,5.257
1980-01-18,6.162
1980-01-19,9.103
1980-01-20,7.392
1980-01-21,15.298
1980-01-22,9.011
1980-01-23,7.892
1980-01-24,6.765
1980-01-25,10.024
1980-01-26,13.83
1980-01-27,9.595
1980-01-28,7.353
1980-01-29,10.093
1980-01-30,5.908
1980-01-31,11.073
1980-02-01,13.962
1980-02-02,11.174
1980-02-03,13.827
1980-02-04,12.022
1980-02-05,14.151
1980-02-06,10.643
1980-02-07,15.876
1980-02-08,7.224
1980-02-09,14.819
1980-02-10,12.307
1980-02-11,11.776
1980-02-12,14.045
1980-02-13,6.703
1980-02-14,10.389
1980-02-15,11.801
1980-02-16,10.213
1980-02-17,7.823
1980-02-18,9.8
1980-02-19,13.488
1980-02-20,11.419
1980-02-21,15.194
1980-02-22,7.422
1980-02-23,8.916
1980-02-24,10.387
1980-02-25,6.895
1980-02-26,6.638
1980-02-27,4.145
1980-02-28,10.558
1980-02-29,3.568
1980-03-01,13.053
1980-03-02,13.563
1980-03-03,15.788
1980-03-04,13.678
1980-03-05,5.377
1980-03-06,6.44
1980-03-07,16.061
1980-03-08,11.198
1980-03-09,15.147
1980-03-10,6.233
1980-03-11,14.069
1980-03-12,14.919
1980-03-13,10.986
1980-03-14,4.143
1980-03-15,4.212
1980-03-16,12.427
1980-03-17,4.086
1980-03-18,10.387
1980-03-19,15.321
1980-03-20,11.51
1980-03-21,13.859
1980-03-22,13.343
1980-03-23,9.172
1980-03-24,8.224
1980-03-25,9.253
1980-03-26,6.718
1980-03-27,6.892
1980-03-28,7.039
1980-03-29,15.807
1980-03-30,7.957
1980-03-31,16.382
1980-04-01,9.375
1980-04-02,10.045
1980-04-03,6.855
1980-04-04,8.949
1980-04-05,6.896
1980-04-06,12.115
1980-04-07,12.216
1980-04-08,9.623
1980-04-09,14.54
1980-04-10,6.731
1980-04-11,8.386
1980-04-12,12.87
1980-04-13,3.605
1980-04-14,4.013
1980-04-15,16.098
1980-04-16,14.151
1980-04-17,8.922
1980-04-18,10.397
1980-04-19,12.79
1980-04-20,11.375
1980-04-21,4.431
1980-04-22,3.366
1980-04-23,5.716
1980-04-24,16.21
1980-04-25,4.086
1980-04-26,4.904
1980-04-27,11.568
1980-04-28,3.543
1980-04-29,4.027
1980-04-30,14.924
1980-05-01,7.064
1980-05-02,6.855
1980-05-03,15.675
1980-05-04,12.842
1980-05-05,4.47
1980-05-06,5.311
1980-05-07,3.666
1980-05-08,4.852
1980-05-09,14.883
1980-05-10,15.128
1980-05-11,10.587
1980-05-12,6.793
1980-05-13,14.151
1980-05-14,12.592
1980-05-15,9.456
1980-05-16,11.483
1980-05-17,9.382
1980-05-18,12.472
1980-05-19,3.688
1980-05-20,15.815
1980-05-21,6.178
1980-05-22,10.907
1980-05-23,14.422
1980-05-24,13.731
1980-05-25,13.79
1980-05-26,11.769
1980-05-27,5.624
1980-05-28,13.91
1980-05-29,4.846
1980-05-30,15.945
1980-05-31,6.998
1980-06-01,15.058
1980-06-02,10.657
1980-06-03,3.775
1980-06-04,5.737
1980-06-05,11.87
1980-06-06,12.274
1980-06-07,15.304
1980-06-08,14.203
1980-06-09,4.22
1980-06-10,10.678
1980-06-11,14.33
1980-06-12,14.674
