mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
14.6,7,127.0,80,2349,16.7,70,usa,ford maverick
13.0,6,313.0,121,2483,14.7,70,usa,ford escort 2h
11.5,6,122.0,117,2544,12.8,70,usa,dodge monaco brougham
31.9,4,75.0,69,1975,15.9,70,japan,honda accord
33.5,4,98.0,65,2637,14.4,70,japan,toyota celica gt liftback
25.8,7,197.0,106,3346,11.8,70,usa,cadillac seville
19.6,7,297.0,83,2497,9.8,70,usa,ford country
34.6,4,156.0,59,2117,16.7,70,japan,honda prelude
21.7,4,99.0,71,2273,18.4,70,europe,renault 12 (sw)
19.5,7,354.0,110,2903,21.3,70,usa,chevrolet cavalier
15.8,8,180.0,126,2852,14.0,70,usa,chevrolet malibu
18.3,7,320.0,67,3316,14.3,70,usa,plymouth horizon
24.0,5,440.0,101,3922,20.5,70,usa,dodge dart custom
29.3,7,284.0,127,4581,13.2,70,usa,plymouth horizon miser
18.4,4,337.0,122,4191,13.9,70,usa,ford mustang ii
37.4,4,68.0,113,1798,18.6,70,japan,mazda glc custom l
17.3,6,214.0,112,3405,12.2,70,usa,ford pinto (sw)
20.4,6,267.0,84,2208,13.2,70,usa,oldsmobile cutlass supreme
38.7,4,91.0,78,2592,16.1,70,japan,datsun 510 hatchback
20.7,7,372.0,94,3859,20.5,70,usa,plymouth horizon miser
35.4,4,135.0,91,2172,17.7,70,japan,datsun 1200
21.0,6,310.0,160,2715,17.1,70,usa,chevrolet vega
18.8,5,108.0,82,2378,14.6,70,japan,datsun 310 gx
17.1,6,303.0,135,2660,18.3,70,usa,buick century limited
28.0,5,215.0,101,4728,17.4,70,usa,mercury cougar brougham
9.3,8,254.0,191,1613,15.0,70,usa,dodge colt hardtop
26.1,3,111.0,83,2029,18.6,70,japan,toyota corolla 1200
24.0,5,213.0,72,4373,11.9,70,usa,oldsmobile cutlass ls
34.4,4,125.0,64,1739,15.8,70,japan,toyota cressida
15.5,7,128.0,145,3737,16.6,70,usa,chevrolet cavalier
31.7,4,106.0,98,2068,16.9,70,japan,datsun 810
27.4,4,87.0,144,2473,22.8,70,europe,audi 100ls
31.2,4,108.0,75,1866,12.2,70,europe,saab 99le
19.0,4,93.0,220,1941,12.2,70,usa,chevrolet cavalier wagon
15.7,7,175.0,167,3778,19.3,71,usa,buick century special
35.9,3,91.0,82,2754,13.1,71,japan,honda civic (auto)
19.9,4,71.0,70,2964,14.1,71,europe,opel 1900
14.4,8,278.0,131,3287,18.8,71,usa,pontiac lemans v6
13.9,8,249.0,75,4492,16.8,71,usa,hi 1200d
13.3,5,229.0,137,2761,16.5,71,usa,chevrolet caprice classic
11.2,5,272.0,143,3050,16.5,71,usa,dodge monaco brougham
