Date,Price
1914-12-01,60.26
1914-12-31,72.13
1915-01-30,53.84
1915-03-01,71.83
1915-03-31,78.91
1915-04-30,68.68
1915-05-30,59.85
1915-06-29,53.07
1915-07-29,82.87
1915-08-28,72.69
1915-09-27,40.86
1915-10-27,64.26
1915-11-26,83.52
1915-12-26,72.65
1916-01-25,80.57
1916-02-24,71.13
1916-03-25,64.41
1916-04-24,82.58
1916-05-24,88.16
1916-06-23,73.4
1916-07-23,66.07
1916-08-22,56.23
1916-09-21,73.9
1916-10-21,76.23
1916-11-20,64.08
1916-12-20,89.34
1917-01-19,98.16
1917-02-18,104.61
1917-03-20,81.67
1917-04-19,100.08
1917-05-19,98.58
1917-06-18,107.39
1917-07-18,99.93
1917-08-17,119.69
1917-09-16,108.95
1917-10-16,84.49
1917-11-15,86.99
1917-12-15,121.09
1918-01-14,89.47
1918-02-13,108.27
1918-03-15,94.25
1918-04-14,99.54
1918-05-14,107.68
1918-06-13,108.57
1918-07-13,96.04
1918-08-12,107.12
1918-09-11,131.69
1918-10-11,104.44
1918-11-10,121.73
1918-12-10,99.91
1919-01-09,122.01
1919-02-08,108.04
1919-03-10,89.95
1919-04-09,108.41
1919-05-09,100.23
1919-06-08,102.54
1919-07-08,106.24
1919-08-07,111.93
1919-09-06,141.94
1919-10-06,127.73
1919-11-05,117.67
1919-12-05,129.85
1920-01-04,141.03
1920-02-03,137.41
1920-03-04,127.25
1920-04-03,107.24
1920-05-03,113.26
1920-06-02,131.45
1920-07-02,140.94
1920-08-01,126.99
1920-08-31,133.04
1920-09-30,115.89
1920-10-30,161.7
1920-11-29,137.04
1920-12-29,158.23
1921-01-28,146.13
1921-02-27,135.96
1921-03-29,154.83
1921-04-28,151.76
1921-05-28,162.73
1921-06-27,108.7
1921-07-27,153.24
1921-08-26,153.31
1921-09-25,153.36
1921-10-25,160.39
1921-11-24,118.02
1921-12-24,161.54
1922-01-23,160.59
1922-02-22,152.99
1922-03-24,139.45
1922-04-23,145.48
1922-05-23,154.06
1922-06-22,172.0
1922-07-22,158.3
1922-08-21,159.55
1922-09-20,159.28
1922-10-20,149.88
1922-11-19,172.19
1922-12-19,152.88
1923-01-18,151.38
1923-02-17,187.9
