state,id,population,engineers,hurricanes
Arizona,1,7798366,0.004774154,0
Pennsylvania,2,2783290,0.004237253,1
New Hampshire,3,1565032,0.00633056,2
Alabama,4,7103970,0.003421545,22
Louisiana,5,2288771,0.001176931,49
Nebraska,6,39250017,0.005621053,0
Colorado,7,13291870,0.008087652,0
Missouri,8,3721380,0.004413261,0
New Jersey,9,2921877,0.007724327,2
District of Columbia,10,1592392,0.011759179,0
West Virginia,11,6022903,0.00128338,0
North Carolina,12,4005059,0.004226953,46
Oklahoma,13,4350542,0.002286188,0
South Carolina,14,19306228,0.002084207,31
Virginia,15,861095,0.008595061,12
Idaho,16,11732160,0.002970638,0
Washington,17,585501,0.010710757,0
Maryland,18,9117570,0.006291088,2
Massachusetts,19,667570,0.010230808,10
Arkansas,20,4561641,0.002439557,0
Alaska,21,585501,0.001590524,0
Illinois,22,2058604,0.004478368,0
Oregon,23,1887293,0.005457479,0
Connecticut,24,3977414,0.005896906,10
Iowa,25,1482953,0.003716472,0
Montana,26,19017701,0.002139048,0
North Dakota,27,1311231,0.003403909,0
Texas,28,5451086,0.004320129,59
Indiana,29,591443,0.002724236,0
Wisconsin,30,39250017,0.004821147,0
Florida,31,5713136,0.003299949,110
Hawaii,32,8755707,0.001624016,0
New Mexico,33,22300108,0.001883696,0
Utah,34,861984,0.006440053,0
Puerto Rico,35,880497,0.000773897,0
New York,36,794919,0.004941432,12
Maine,37,39250017,0.002290686,6
Kentucky,38,5962413,0.002089262,0
Kansas,39,1953404,0.003811111,0
Mississippi,40,4004893,0.000933508,15
Nevada,41,1292001,0.002037375,0
Ohio,42,4620300,0.004095787,0
South Dakota,43,1925317,0.003085086,0
Delaware,44,5951334,0.004989155,2
Georgia,45,1937234,0.004939686,20
Tennessee,46,4928473,0.002375513,0
Minnesota,47,30311793,0.006193894,0
Wyoming,48,3797705,0.001007684,0
Vermont,49,9870490,0.004643016,0
Michigan,50,24506349,0.003876797,0
Rhode Island,51,4329838,0.004581485,9
California,52,14584666,0.007125857,0
