carat,cut,color,clarity,depth,table,price,x,y,z
0.66,Very Good,G,VVS1,60.1,58.0,10445,4.35,6.32,2.58
0.76,Premium,F,VS1,60.2,61.0,2492,4.23,4.95,5.29
0.88,Very Good,D,SI2,62.9,57.0,3733,5.82,4.73,3.25
1.87,Very Good,J,VS1,61.3,63.0,4636,3.97,7.2,4.5
0.86,Ideal,F,SI2,62.2,56.0,950,5.51,4.97,2.47
1.26,Very Good,H,VVS2,62.8,57.0,1825,5.78,5.06,4.55
0.28,Good,E,SI2,60.5,59.0,2679,6.12,4.66,3.65
0.28,Very Good,F,VVS1,61.5,57.0,833,7.26,7.12,4.11
0.42,Premium,G,SI1,61.3,55.5,3079,4.53,4.59,2.32
0.2,Premium,F,VS2,60.3,61.2,829,5.31,6.24,4.42
0.54,Ideal,E,VS1,62.9,55.0,1239,6.34,4.66,3.18
0.59,Ideal,I,SI1,60.9,61.0,855,5.56,4.61,3.89
0.38,Ideal,F,VVS2,62.0,58.0,2169,4.91,4.58,3.53
1.03,Premium,F,SI2,60.3,60.0,8696,7.25,3.53,3.07
1.38,Very Good,G,VVS1,61.7,56.0,3103,6.15,4.83,3.51
0.92,Ideal,H,SI2,61.7,59.0,6375,5.34,5.8,2.86
0.36,Good,J,SI1,58.6,62.0,6408,4.85,4.61,3.26
1.0,Premium,E,SI1,59.7,57.0,950,5.73,4.34,4.29
0.34,Premium,F,VS2,61.8,61.0,450,4.53,6.01,4.97
1.57,Premium,E,VS2,63.2,64.0,17352,8.02,7.31,2.79
0.82,Very Good,I,SI1,61.2,59.0,1861,6.17,5.51,2.48
0.4,Very Good,F,I1,61.9,61.0,11273,4.57,5.29,3.5
2.2,Premium,J,SI2,60.1,61.0,326,4.78,6.04,2.26
1.27,Premium,J,VVS2,63.1,61.0,10160,6.36,6.63,3.49
0.5,Fair,G,VS1,61.9,58.0,3822,4.75,6.11,3.88
1.44,Ideal,H,IF,61.1,58.0,3142,6.12,5.76,3.78
0.43,Very Good,E,VS1,58.9,58.0,1755,5.97,6.68,3.6
1.64,Fair,H,SI1,59.4,58.0,1977,3.85,5.64,3.93
0.99,Ideal,I,IF,60.2,55.0,5412,5.07,5.97,3.83
1.55,Very Good,F,SI1,62.1,61.0,621,6.23,4.98,2.94
1.13,Very Good,H,VVS2,60.0,58.0,3669,7.11,4.71,2.74
0.64,Good,F,SI2,61.0,54.0,4791,6.95,6.37,3.88
0.56,Very Good,F,VS1,59.8,58.0,7076,6.41,8.21,2.66
1.04,Premium,E,VS1,61.3,60.0,18069,4.98,5.49,3.5
0.41,Premium,G,VVS2,60.9,57.0,3014,5.99,2.92,3.64
0.71,Very Good,F,VS2,61.3,54.2,12372,4.12,7.41,2.61
0.74,Good,G,SI2,61.5,60.0,3054,4.45,7.44,3.4
0.87,Ideal,I,VS1,58.2,55.0,1579,5.8,6.03,1.2
0.46,Ideal,G,VS2,60.2,56.0,9254,5.12,6.38,3.72
1.1,Premium,I,VS2,59.6,58.0,1087,6.25,6.48,5.14
0.75,Ideal,E,IF,62.6,57.0,3132,5.68,6.13,3.11
0.68,Premium,F,VS2,61.9,58.0,4668,7.61,6.53,2.98
1.34,Fair,G,I1,64.2,64.0,975,5.03,3.99,3.41
0.25,Fair,G,SI2,60.7,55.0,7870,5.39,5.8,3.2
0.7,Premium,I,SI1,62.9,57.0,5341,6.69,6.63,3.82
0.68,Premium,G,VVS2,59.4,55.0,6263,6.61,6.25,3.04
0.98,Premium,E,SI1,62.2,54.0,1746,7.39,6.65,3.44
0.23,Premium,H,VVS1,56.2,56.0,12704,6.82,6.78,4.34
0.29,Ideal,G,VVS2,61.6,63.0,1527,6.86,3.89,4.04
1.08,Fair,H,SI2,61.3,60.0,2790,6.39,7.04,4.04
0.6,Ideal,I,VS2,60.7,56.0,873,5.28,6.46,3.44
0.36,Very Good,F,SI1,58.3,55.0,912,6.29,1.79,2.83
1.05,Premium,I,VS2,61.3,58.0,4595,6.0,6.31,4.2
