method,number,orbital_period,mass,distance,year
Radial Velocity,1,,0.58,50.43,2010
Transit,5,10.854092,,,2011
Transit,1,2.484193,,260.0,2013
Radial Velocity,2,53.832,0.036,28.6,2011
Transit,2,,,,2014
Radial Velocity,3,8.1352,0.036,25.87,2011
Transit,7,210.60697,,780.0,2013
Radial Velocity,1,1075.2,,32.56,1999
Transit,4,6.16486,,,2014
Transit,1,138.317,,,2012
Radial Velocity,1,1311.0,1.26,33.29,2002
Imaging,1,,,52.4,2004
Radial Velocity,2,430.0,,,2002
Radial Velocity,3,90.309,0.0151,,2011
Transit,3,2.15491,,,2012
Radial Velocity,1,2208.0,,,2012
Transit,1,4.641878,,447.0,2012
Transit,4,10.423648,,,2013
Transit,3,1.865169,,38.7,2011
Transit,1,13.2406,,345.0,2010
Radial Velocity,1,606.4,2.7,37.98,2009
Imaging,1,318280.0,,7.69,2008
Transit,1,1.7635892,,,2011
Transit,1,4.187757,,260.0,2008
Radial Velocity,1,269.3,7.1,77.4,2006
Radial Velocity,1,875.5,,,2012
Transit,1,3.54846,,,2009
Transit,1,66.262,,,2014
Radial Velocity,1,6.958,0.34,,2014
Eclipse Timing Variations,2,1916.25,,,2011
Radial Velocity,1,528.4,1.21,12.87,2003
Radial Velocity,1,6.403,,43.12,2002
Transit,1,3.89713,,770.0,2011
Imaging,1,,,,2013
Transit,1,3.408821,,,2010
Transit Timing Variations,2,160.0,,2119.0,2011
Radial Velocity,1,1114.0,,35.0,2002
Transit,1,3.547851,,453.0,2013
Transit,2,12.04,,,2012
Radial Velocity,1,326.03,19.4,,2007
Transit,1,1.4324752,,600.0,2004
Transit,1,15.7259,,1107.0,2013
Transit,4,54.32031,,,2013
Radial Velocity,3,1050.3,4.95,16.13,2010
Radial Velocity,2,607.06,7.4634,25.7,2008
Transit,4,54.32031,,,2013
Transit,1,3.6313,,600.0,2011
Radial Velocity,2,85.131,,,2011
Transit,1,1.62843142,,300.0,2008
Transit,2,42.1516418,,,2012
Transit,1,0.925542,,470.0,2014
Radial Velocity,2,441.47,,27.46,2003
Radial Velocity,1,18.20163,,37.35,1999
Transit,1,1.212884,,393.0,2010
Transit,1,2.204737,,320.0,2008
Radial Velocity,1,2.64561,,19.8,2010
Transit,1,4.0161,,,2004
Radial Velocity,2,4046.0,2.0,38.52,2011
Transit,2,35.736,,,2013
Radial Velocity,3,1078.0,,14.08,1996
Radial Velocity,1,1773.4,,18.15,2002
Radial Velocity,2,14.07,0.0413,34.07,2011
Radial Velocity,2,2500.0,7.0,,2008
Radial Velocity,2,95.415,,34.07,2011
Transit,2,9.77,,,2012
Radial Velocity,4,1276.46,,13.47,1999
Radial Velocity,1,4.113775,0.45,,2006
Transit,1,3.257215,,395.0,2011
Radial Velocity,1,883.0,2.2,121.36,2011
Radial Velocity,1,2890.0,11.0,87.87,2011
Transit,5,41.02902,,,2011
Transit,5,5.714932,,368.0,2013
Radial Velocity,2,33.823,0.0422,43.08,2011
Radial Velocity,1,3.416,0.22,74.46,2004
Radial Velocity,1,58.43,,11.15,2011
Radial Velocity,4,30.0881,,4.7,2000
Transit,1,3.6623866,,240.0,2012
Transit,2,5.7293196,,,2012
Radial Velocity,1,1214.0,1.5,89.13,2006
Radial Velocity,1,,1.13,,2000
Radial Velocity,1,356.0,,131.41,2009
Radial Velocity,1,,,35.0,2002
Radial Velocity,1,1155.0,,21.92,2005
Radial Velocity,1,465.1,,,2009
Radial Velocity,1,989.2,0.94,17.35,2006
Radial Velocity,2,621.99,,,2009
Transit,1,288.822,,1499.0,2011
Radial Velocity,2,85.131,0.0496,35.89,2011
Radial Velocity,1,883.0,,121.36,2011
Transit,5,27.4536,,,2014
Radial Velocity,1,2.985625,,43.53,2002
Radial Velocity,1,392.6,,,2011
Transit,1,3.0927616,,90.0,2008
Radial Velocity,1,1096.2,,29.55,2011
Transit,1,1.212884,,393.0,2010
Radial Velocity,1,1966.1,,48.64,2011
Radial Velocity,1,185.84,,76.39,2008
Transit,1,,,160.0,2008
Radial Velocity,3,6.673855,3.88,52.88,2005
Radial Velocity,1,2288.0,,12.12,2009
Pulsar Timing,3,98.2114,,,1994
Radial Velocity,2,22.656,0.0322,32.31,2011
Transit,1,1.327347,,317.0,2011
Transit,5,3.6961219,,290.0,2011
Transit,5,21.77596,,,2011
Radial Velocity,2,,,,2011
Radial Velocity,2,53.881,0.06472,32.31,2011
Transit,1,5.508023,,166.0,2010
Radial Velocity,6,62.24,0.008,6.8,2013
Radial Velocity,2,22.656,,32.31,2011
Radial Velocity,1,1038.1,1.9,54.23,2007
Transit,1,2.691548,,322.0,2014
Radial Velocity,1,493.7,1.1,20.43,2001
Radial Velocity,1,18.179,0.33,86.88,2006
Radial Velocity,2,408.6,,,2004
Transit,1,3.257215,,395.0,2011
Radial Velocity,2,9017.8,,,2011
Radial Velocity,1,1845.0,,56.05,2010
Radial Velocity,1,17337.5,,23.98,2009
Radial Velocity,1,326.03,19.4,,2007
Radial Velocity,2,225.62,2.88,,2000
Transit,2,,,,2012
Radial Velocity,2,452.8,1.99,74.79,2010
Radial Velocity,1,351.5,2.5,,2007
Radial Velocity,1,1634.0,,38.26,2009
Radial Velocity,1,331.5,,59.28,2009
Radial Velocity,2,454.2,1.45,16.57,2002
Radial Velocity,1,479.0,1.6,114.55,2009
Transit,1,4.124481,,254.0,2010
Radial Velocity,3,6.673855,3.88,52.88,2005
Radial Velocity,1,521.0,1.8,114.15,2011
Radial Velocity,3,51.284,0.0498,38.01,2011
Transit,2,12.2829,,,2011
Radial Velocity,2,454.2,1.45,16.57,2002
Radial Velocity,1,199.505,,,2003
Radial Velocity,2,613.8,,,2010
Radial Velocity,2,5.7727,0.024,23.44,2009
Radial Velocity,1,330.0,,38.45,2011
Transit,2,12.513,,,2012
Radial Velocity,1,17337.5,9.0,23.98,2009
Radial Velocity,1,185.84,,76.39,2008
Transit,1,3.332687,,542.0,2012
Radial Velocity,1,8.428198,14.4,31.26,2002
Radial Velocity,1,2231.0,,,2003
Radial Velocity,1,331.5,0.96,59.28,2009
Radial Velocity,1,2.8758911,,78.86,2005
Radial Velocity,2,572.4,1.26,35.59,2003
Transit,4,,,,2013
Transit,2,13.83989,,470.0,2012
Transit,6,13.0241,,613.0,2010
Radial Velocity,1,49.77,0.057,22.09,2009
Transit,1,3.052401,,180.0,2010
Transit,3,29.33434,,1400.0,2012
Transit,1,4.1137912,,,2012
Radial Velocity,2,923.8,,,2005
Eclipse Timing Variations,1,10220.0,,,2009
Transit,1,5.01718,,300.0,2012
Radial Velocity,6,5.75962,,,2010
Transit,1,1.420033,,,2010
Radial Velocity,2,789.0,,,2014
Transit,4,10.423648,,,2013
Radial Velocity,1,672.1,,289.02,2012
Transit,2,23.08933,,,2014
Transit,1,3.039577,,204.0,2011
Radial Velocity,1,3.024,0.249,33.41,2000
Radial Velocity,6,51.76,,12.83,2012
Radial Velocity,1,2.54858,,36.52,2003
Radial Velocity,1,,13.65,31.79,2011
Radial Velocity,1,14.476,,63.69,2008
Radial Velocity,2,4970.0,0.36,,2010
Radial Velocity,1,227.0,1.8,44.15,2002
Transit,2,51.538,,,2012
Astrometry,1,1016.0,,,2010
Radial Velocity,1,653.22,,33.46,2002
Radial Velocity,3,1931.0,4.05,47.3,2009
Radial Velocity,1,2597.0,1.88,33.01,2004
Microlensing,1,,,3600.0,2013
Transit,2,16.3850021,,,2012
Radial Velocity,1,5.7361,,41.27,2012
Transit,1,3.332687,,542.0,2012
Radial Velocity,1,327.8,,54.94,2010
Transit,2,12.3335,,1200.0,2011
Transit,1,3.652836,,297.0,2010
Transit,2,36.855,,,2013
Radial Velocity,1,3.971,,59.7,2002
Transit,1,2.7033904,1.47,178.0,2013
Radial Velocity,1,,,50.45,2011
Radial Velocity,3,25.6,0.024,14.97,2013
Radial Velocity,1,20.8133,0.172,42.0,2005
Transit,2,10.5016,,,2012
Radial Velocity,3,1931.0,4.05,47.3,2009
Radial Velocity,2,613.8,1.85,68.35,2010
Transit,1,3.9791,,,2007
Transit,5,77.61184,,290.0,2011
Radial Velocity,3,31.56,,12.58,2006
Radial Velocity,1,1.3283,,43.03,2003
Transit,2,42.994,,,2013
Transit,1,8.884924,,1140.0,2013
Microlensing,2,1825.0,,,2008
Radial Velocity,2,530.32,,46.84,2012
Transit,5,5.66793,,,2011
Microlensing,1,3500.0,,,2005
Radial Velocity,1,589.64,2.9,10.34,2006
Radial Velocity,3,12.083,,26.91,2011
Radial Velocity,1,903.3,,13.79,2003
Transit,1,3.922727,,70.0,2010
Radial Velocity,2,4970.0,,17.99,2010
Transit,1,4.37809,,330.0,2012
Transit,1,0.813475,,,2011
Transit,4,,,,2014
Radial Velocity,4,66.8,0.022,6.27,2005
Imaging,1,,,140.0,2004
Transit,1,1.7497798,,140.0,2012
Transit,4,10.423648,,,2013
Transit,1,0.94145299,,,2009
Transit,1,6.790123,,980.0,2011
Transit,2,15.3348,,,2011
Transit Timing Variations,2,57.011,,,2012
Transit,2,42.994,,,2013
Radial Velocity,2,567.0,,43.53,2009
Radial Velocity,1,351.5,,67.39,2007
Imaging,1,,,,2011
Radial Velocity,2,395.8,1.29,68.54,2002
Transit,1,13.2406,,345.0,2010
Radial Velocity,4,1.93778,,4.7,2005
Radial Velocity,2,441.47,,,2003
Transit,1,11.5231,,,2014
Transit,3,5.398763,,135.0,2012
Transit,1,2.899736,,,2007
Radial Velocity,2,44.236,,42.68,2009
Imaging,1,,,,2010
Radial Velocity,1,1279.0,4.9,,2002
Radial Velocity,3,12.083,0.0292,26.91,2011
Transit,4,10.423648,,,2013
Radial Velocity,1,133.71,3.37,17.62,2000
Radial Velocity,1,1096.2,,,2011
Transit,1,3.547851,,453.0,2013
Transit,3,0.45328509,,38.7,2011
Radial Velocity,1,15.609,,21.85,2005
Radial Velocity,1,1333.0,2.58,32.99,2007
Transit,5,21.77596,,,2011
Radial Velocity,1,1951.0,18.15,57.21,2008
Radial Velocity,1,465.1,14.3,50.18,2009
Transit,2,8.041,,,2013
Transit,2,15.5741568,,,2012
Radial Velocity,1,1773.4,4.64,,2002
Radial Velocity,1,1845.0,0.95,56.05,2010
Transit,1,5.723186,,322.0,2011
Radial Velocity,1,282.4,0.48,51.81,2010
Radial Velocity,1,4951.0,6.8,42.77,2012
Transit,1,1.212884,,393.0,2010
Transit,1,,,,2014
Transit,1,282.5255,,,2013
Radial Velocity,1,511.098,8.82,31.33,2002
Radial Velocity,1,1057.0,3.12,59.35,2008
Transit,1,8.158715,,87.0,2010
Radial Velocity,1,3.0925,0.95,,2000
Radial Velocity,2,1749.5,,37.88,2000
Transit,1,3.6623866,,,2012
Transit,3,12.7204,,,2011
Radial Velocity,1,1333.0,2.58,32.99,2007
Radial Velocity,1,912.0,,,2011
Transit,2,10.3376,,1400.0,2011
Transit,1,5.6334729,,,2007
Radial Velocity,6,28.14,,6.8,2011
Transit,4,9.6739283,,,2012
Transit,2,23.654,,,2013
Transit,7,331.60059,,780.0,2013
Radial Velocity,1,538.0,,,2007
Transit,2,2.50806,,,2014
Transit,1,2.99433,,560.0,2010
Radial Velocity,1,,,,2005
Radial Velocity,6,49.747,0.08,39.39,2010
Radial Velocity,2,192.9,1.82,,2009
Radial Velocity,1,176.3,,126.1,2010
Transit,1,3.764825,,,2010
Radial Velocity,6,4.3123,0.0126,12.83,2008
Transit,2,4.754,,,2014
Radial Velocity,1,3827.0,0.48,20.48,2014
Radial Velocity,1,2.8758911,,,2005
Transit,7,91.93913,,780.0,2013
Radial Velocity,1,1260.0,3.06,53.05,2008
Radial Velocity,1,1290.0,7.8,67.02,2009
Transit,2,12.2829,,,2011
Radial Velocity,1,3.416,0.22,74.46,2004
Radial Velocity,1,689.0,,182.82,2011
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Radial Velocity,1,1695.0,,42.48,2009
Radial Velocity,1,192.0,,,2013
Transit,1,1.72086123,,,2014
Radial Velocity,1,21.21663,,,2007
Radial Velocity,2,44.236,,42.68,2009
Radial Velocity,1,3.4442,,53.71,2005
Radial Velocity,3,603.0,,14.97,2013
Imaging,1,,,,2006
Imaging,1,,,145.0,2010
Radial Velocity,1,4218.0,,,2009
Transit,2,21.40239,,,2012
Radial Velocity,2,13.186,0.0263,42.52,2011
Transit,2,9.522,,,2012
Radial Velocity,1,15.609,0.0405,21.85,2005
Radial Velocity,1,471.6,,,2005
Radial Velocity,1,157.57,1.7,140.85,2011
Radial Velocity,3,2172.0,0.54,26.15,2008
Radial Velocity,1,131.05,9.71,35.37,2011
Transit,1,4.03519,,,2010
Transit,1,105.599,,600.0,2012
Transit,3,9.605085,,135.0,2012
Transit,1,1.9000693,,870.0,2011
Transit,3,7.64159,,,2011
Radial Velocity,1,480.5,6.0,80.06,2012
Radial Velocity,1,1136.1,5.93,62.11,2002
Eclipse Timing Variations,2,3321.0,,130.72,2008
Radial Velocity,2,1155.7,,,2012
Eclipse Timing Variations,2,2883.5,,500.0,2010
Pulsar Timing,3,25.262,,,1992
Radial Velocity,2,33.823,,43.08,2011
Transit,2,7.8773565,,,2012
Radial Velocity,1,672.1,,289.02,2012
Astrometry,1,246.36,,20.77,2013
Imaging,1,,,18.39,2006
Transit,2,10.2184954,,,2012
Transit,5,19.57706,,290.0,2011
Transit,1,4.954658,,,2008
Transit,1,4.0378962,,,2009
Transit,1,1.3600309,,,2012
Imaging,1,,,140.0,2010
Transit,2,49.412,,,2013
Radial Velocity,1,1183.0,4.9,89.85,2002
Transit,2,10.9129343,,,2012
Radial Velocity,1,2.21857578,,19.25,2005
Radial Velocity,5,0.73654,,12.53,2011
Transit,2,44.347,,,2013
Radial Velocity,6,39.026,,6.8,2013
Imaging,1,,,,2010
Transit,1,3.1186009,,,2009
Radial Velocity,4,5.36874,0.049,6.27,2005
Transit,3,1.865169,,,2011
Transit,1,1.7429935,,200.0,2008
Radial Velocity,3,843.6,,33.24,2005
Transit,1,4.353011,,155.0,2009
Microlensing,1,,,,2004
Radial Velocity,1,,,76.39,2008
Transit,1,3.352057,,3200.0,2012
Radial Velocity,2,3.93,,43.53,2009
Transit,1,1.9000693,,870.0,2011
Radial Velocity,1,700.0,,87.41,2008
Transit,2,8.291,,,2013
Transit,2,26.723,,,2013
Radial Velocity,6,91.61,0.016,6.8,2013
Transit,2,11.8681707,,,2012
Radial Velocity,1,311.288,1.94,17.24,1999
Transit,1,1.3600309,,,2012
Transit,5,,,290.0,2011
Radial Velocity,1,,2.8,,2007
Transit,3,6.2385,,,2011
Radial Velocity,1,1299.0,1.9,106.38,2011
Transit,2,54.414,,,2013
Transit,2,9.522,,,2012
Radial Velocity,1,691.9,,81.5,2012
Transit,6,31.9996,,613.0,2010
Transit,1,0.925542,,470.0,2014
Transit,1,3.352057,,3200.0,2012
Radial Velocity,2,1270.2,3.44,53.82,2007
Transit,4,4.7779803,,,2012
Transit,1,2.455239,,333.0,2011
Transit,2,42.6318,,,2011
Transit,2,10.2184954,,,2012
Radial Velocity,3,3008.0,7.2,52.83,2009
Transit,1,2.2167421,,,2012
Radial Velocity,2,937.7,1.24,28.04,2003
Radial Velocity,3,1078.0,,14.08,1996
Radial Velocity,1,7.3709,0.018,,2011
Radial Velocity,2,192.9,1.82,52.85,2009
Radial Velocity,1,2208.0,,,2012
Radial Velocity,1,1049.0,0.79,45.01,2009
Radial Velocity,1,41.397,,11.03,2010
Transit,2,31.884,,,2013
Radial Velocity,2,567.0,0.33,43.53,2009
Transit,5,8.7522,,303.0,2011
Transit,2,8.92507,,,2014
Radial Velocity,1,,,11.03,2010
Radial Velocity,2,13.186,,42.52,2011
Radial Velocity,1,851.8,6.1,,2007
Transit,1,3.94150685,,172.0,2006
Transit,1,5.723186,,322.0,2011
Transit,1,1.43037,,,2011
Radial Velocity,2,55.0,2.3,42.88,2004
Radial Velocity,2,5.7727,0.024,23.44,2009
Radial Velocity,1,24.348,0.72,19.89,1999
