Date,CO2,adjusted CO2
1958-03-01,316.23,314.28
1958-03-31,317.44,314.56
1958-04-30,315.62,314.57
1958-05-30,317.45,314.36
1958-06-29,318.18,314.59
1958-07-29,317.17,315.22
1958-08-28,316.3,314.99
1958-09-27,315.63,315.56
1958-10-27,318.65,315.32
1958-11-26,317.64,315.64
1958-12-26,314.46,315.9
1959-01-25,316.83,315.71
1959-02-24,318.79,316.11
1959-03-26,317.71,315.73
1959-04-25,318.53,316.5
1959-05-25,317.6,317.43
1959-06-24,316.94,316.86
1959-07-24,318.78,316.66
1959-08-23,319.36,316.46
1959-09-22,317.9,316.93
1959-10-22,317.18,316.45
1959-11-21,316.21,318.33
1959-12-21,318.0,317.16
1960-01-20,318.25,317.69
1960-02-19,317.05,317.39
1960-03-20,319.61,317.95
1960-04-19,320.51,317.89
1960-05-19,321.18,317.66
1960-06-18,318.89,318.16
1960-07-18,320.76,317.89
1960-08-17,320.63,318.7
1960-09-16,321.53,318.43
1960-10-16,320.8,318.66
1960-11-15,322.81,318.5
1960-12-15,321.74,318.66
1961-01-14,319.3,318.99
1961-02-13,319.57,319.44
1961-03-15,323.02,319.4
1961-04-14,319.86,319.24
1961-05-14,321.77,319.44
1961-06-13,320.38,320.24
1961-07-13,320.93,320.06
1961-08-12,321.76,320.29
1961-09-11,321.87,320.6
1961-10-11,320.63,319.77
1961-11-10,321.76,320.87
1961-12-10,324.25,320.41
1962-01-09,321.53,320.87
1962-02-08,323.28,321.0
1962-03-10,321.11,320.18
1962-04-09,323.35,320.72
1962-05-09,321.96,321.6
1962-06-08,320.16,321.31
1962-07-08,322.04,321.94
1962-08-07,321.23,321.67
1962-09-06,321.48,321.64
1962-10-06,321.87,322.4
1962-11-05,322.46,321.75
1962-12-05,325.5,322.12
1963-01-04,324.09,322.0
1963-02-03,323.1,321.85
1963-03-05,324.34,322.77
1963-04-04,325.48,322.53
1963-05-04,325.13,322.86
1963-06-03,324.13,322.85
1963-07-03,322.14,322.98
1963-08-02,322.76,323.35
1963-09-01,324.61,323.77
1963-10-01,325.58,323.26
1963-10-31,324.2,323.78
1963-11-30,324.82,323.75
1963-12-30,323.12,323.9
1964-01-29,327.74,324.33
1964-02-28,325.28,323.88
1964-03-29,327.43,324.19
1964-04-28,326.23,324.67
1964-05-28,325.23,325.25
1964-06-27,327.14,324.21
1964-07-27,326.85,324.45
1964-08-26,327.97,325.49
1964-09-25,322.56,324.58
1964-10-25,327.06,324.87
1964-11-24,327.08,325.39
1964-12-24,327.1,325.54
1965-01-23,327.83,325.55
1965-02-22,323.59,326.18
1965-03-24,327.98,325.97
1965-04-23,327.9,325.79
1965-05-23,327.16,326.31
1965-06-22,325.81,326.07
1965-07-22,326.44,326.53
1965-08-21,327.32,326.72
1965-09-20,329.14,326.22
1965-10-20,327.78,326.83
1965-11-19,327.93,326.62
1965-12-19,327.92,326.86
1966-01-18,326.99,327.02
1966-02-17,329.25,326.95
1966-03-19,327.33,327.07
1966-04-18,327.2,327.31
1966-05-18,330.89,327.75
1966-06-17,328.46,328.12
1966-07-17,330.1,328.07
1966-08-16,327.2,327.95
1966-09-15,330.86,328.4
1966-10-15,331.11,328.21
1966-11-14,328.4,328.51
1966-12-14,328.32,328.5
1967-01-13,331.41,328.72
1967-02-12,328.93,328.68
1967-03-14,330.38,328.74
1967-04-13,331.24,329.17
1967-05-13,329.86,329.13
1967-06-12,332.34,328.69
1967-07-12,328.78,329.38
1967-08-11,331.07,329.41
1967-09-10,331.61,329.63
1967-10-10,332.23,330.02
1967-11-09,331.04,330.36
1967-12-09,333.48,330.63
1968-01-08,332.45,330.13
1968-02-07,332.89,329.95
1968-03-08,330.47,330.28
1968-04-07,331.73,330.54
1968-05-07,332.36,330.76
1968-06-06,332.23,331.18
1968-07-06,331.5,330.94
1968-08-05,332.42,331.8
1968-09-04,332.98,331.01
1968-10-04,331.76,331.04
1968-11-03,334.56,331.64
1968-12-03,333.35,331.88
1969-01-02,333.4,331.91
1969-02-01,331.12,332.06
1969-03-03,333.07,332.26
1969-04-02,334.62,332.39
1969-05-02,333.02,331.96
1969-06-01,332.75,332.76
1969-07-01,333.89,333.23
1969-07-31,335.11,332.89
1969-08-30,333.85,333.05
1969-09-29,333.49,332.54
1969-10-29,334.43,333.15
1969-11-28,332.25,333.53
1969-12-28,334.5,333.23
1970-01-27,335.92,334.17
1970-02-26,335.16,333.62
1970-03-28,336.09,333.95
1970-04-27,334.86,334.01
1970-05-27,335.5,334.3
1970-06-26,335.9,334.75
1970-07-26,334.88,334.49
1970-08-25,335.85,334.52
1970-09-24,335.34,334.09
1970-10-24,334.8,334.95
1970-11-23,335.19,334.77
1970-12-23,337.22,334.73
1971-01-22,338.68,334.96
1971-02-21,336.27,335.6
1971-03-23,336.08,335.54
1971-04-22,337.03,335.59
1971-05-22,336.59,336.2
1971-06-21,335.85,335.91
1971-07-21,338.56,336.29
1971-08-20,336.66,335.85
1971-09-19,338.37,336.31
1971-10-19,337.14,336.35
1971-11-18,337.77,336.54
1971-12-18,337.9,336.23
1972-01-17,337.65,337.18
1972-02-16,336.77,336.84
1972-03-17,338.28,337.27
1972-04-16,338.05,337.27
1972-05-16,339.99,337.02
1972-06-15,338.73,337.49
1972-07-15,339.23,338.01
1972-08-14,339.14,336.64
1972-09-13,338.94,338.01
1972-10-13,339.37,338.16
1972-11-12,341.64,338.26
1972-12-12,339.36,337.69
1973-01-11,338.5,338.32
1973-02-10,338.73,338.26
1973-03-12,337.84,338.53
1973-04-11,340.65,338.44
1973-05-11,341.61,338.97
1973-06-10,340.09,339.12
1973-07-10,340.19,339.3
1973-08-09,342.39,339.01
1973-09-08,340.33,339.13
1973-10-08,338.95,339.47
1973-11-07,341.95,339.34
1973-12-07,340.37,340.24
1974-01-06,340.83,339.62
1974-02-05,340.39,339.89
1974-03-07,341.32,339.98
1974-04-06,343.34,340.01
1974-05-06,341.25,340.79
1974-06-05,342.48,340.26
1974-07-05,340.28,340.79
1974-08-04,343.87,340.03
1974-09-03,342.59,340.58
1974-10-03,343.19,341.14
1974-11-02,343.5,341.13
1974-12-02,341.51,340.96
1975-01-01,342.37,341.63
1975-01-31,343.46,342.01
1975-03-02,345.26,342.05
1975-04-01,340.11,341.83
1975-05-01,342.17,341.86
1975-05-31,341.99,342.2
1975-06-30,342.36,341.72
1975-07-30,341.15,342.21
1975-08-29,343.22,342.31
1975-09-28,343.32,342.62
1975-10-28,342.83,342.61
1975-11-27,346.06,343.12
1975-12-27,343.9,343.01
1976-01-26,343.5,342.61
1976-02-25,345.15,343.02
1976-03-26,345.7,343.25
1976-04-25,345.2,343.94
1976-05-25,343.43,343.9
1976-06-24,346.14,343.76
1976-07-24,344.64,344.18
1976-08-23,346.04,343.25
1976-09-22,346.11,344.18
1976-10-22,344.06,344.73
1976-11-21,346.15,343.95
1976-12-21,344.28,344.44
1977-01-20,346.53,344.09
1977-02-19,345.97,345.21
1977-03-21,345.71,344.98
1977-04-20,348.76,345.12
1977-05-20,347.6,344.64
1977-06-19,345.43,345.15
1977-07-19,345.11,345.79
1977-08-18,346.97,345.93
1977-09-17,348.49,345.09
1977-10-17,346.4,345.97
1977-11-16,349.97,346.29
1977-12-16,349.34,346.31
1978-01-15,346.67,346.34
1978-02-14,348.72,346.22
1978-03-16,348.06,346.61
1978-04-15,345.92,346.78
1978-05-15,347.5,347.17
1978-06-14,351.28,346.93
1978-07-14,349.24,347.44
1978-08-13,347.31,347.04
1978-09-12,349.46,347.2
1978-10-12,349.45,347.41
1978-11-11,348.8,347.64
1978-12-11,349.87,347.47
1979-01-10,349.24,347.66
1979-02-09,351.4,347.93
1979-03-11,351.21,348.39
1979-04-10,348.8,348.18
1979-05-10,349.45,347.99
1979-06-09,349.56,348.39
1979-07-09,350.93,349.15
1979-08-08,351.63,348.95
1979-09-07,348.76,349.53
1979-10-07,350.44,349.62
1979-11-06,346.16,349.37
1979-12-06,350.8,348.98
1980-01-05,348.96,349.61
1980-02-04,349.78,349.2
1980-03-05,350.84,349.85
1980-04-04,352.06,350.67
1980-05-04,352.7,349.95
1980-06-03,351.64,349.96
1980-07-03,350.93,350.22
1980-08-02,352.02,350.47
1980-09-01,352.91,350.7
1980-10-01,350.54,350.59
1980-10-31,349.9,350.55
1980-11-30,351.38,351.01
1980-12-30,353.02,351.04
1981-01-29,353.11,350.97
1981-02-28,354.67,351.69
1981-03-30,353.12,351.35
1981-04-29,351.61,351.7
1981-05-29,352.38,351.41
1981-06-28,352.21,352.32
1981-07-28,353.9,351.79
1981-08-27,354.18,352.74
1981-09-26,354.5,352.33
1981-10-26,353.94,352.42
1981-11-25,353.91,352.48
1981-12-25,355.91,352.54
1982-01-24,353.0,352.91
1982-02-23,353.78,352.9
1982-03-25,352.95,352.85
1982-04-24,353.47,352.93
