total_bill,tip,sex,smoker,day,time,size
30.14,3.09,Female,Yes,Sat,Dinner,4
11.02,1.98,Male,Yes,Sat,Dinner,2
13.42,1.68,Female,No,Thur,Lunch,2
23.95,2.55,Male,No,Sun,Dinner,2
40.17,4.73,Male,Yes,Fri,Dinner,4
23.68,3.31,Male,No,Sun,Dinner,2
16.29,3.71,Male,No,Sun,Dinner,3
13.42,1.68,Female,No,Thur,Lunch,2
15.48,2.02,Male,Yes,Thur,Lunch,2
34.63,3.55,Male,Yes,Sun,Dinner,2
11.69,2.31,Male,No,Thur,Lunch,2
10.59,1.61,Female,Yes,Sat,Dinner,2
16.31,2.0,Male,No,Sat,Dinner,3
13.42,3.48,Female,Yes,Fri,Lunch,2
7.51,2.0,Male,No,Thur,Lunch,2
13.37,2.0,Male,No,Sat,Dinner,2
30.06,2.0,Male,Yes,Sat,Dinner,3
27.2,4.0,Male,No,Thur,Lunch,4
8.58,1.92,Male,Yes,Fri,Lunch,1
10.07,1.83,Female,No,Thur,Lunch,1
13.42,1.68,Female,No,Thur,Lunch,2
17.92,3.08,Male,Yes,Sat,Dinner,2
16.43,2.3,Female,No,Thur,Lunch,2
15.04,1.96,Male,No,Sun,Dinner,2
18.28,4.0,Male,No,Thur,Lunch,2
31.85,3.18,Male,Yes,Sun,Dinner,2
30.46,2.0,Male,Yes,Sun,Dinner,5
16.49,2.0,Male,No,Sun,Dinner,4
28.55,2.05,Male,No,Sun,Dinner,3
12.6,1.0,Male,Yes,Sat,Dinner,2
12.03,1.5,Male,Yes,Fri,Dinner,2
50.81,10.0,Male,Yes,Sat,Dinner,3
14.83,3.02,Female,No,Sun,Dinner,2
18.78,3.0,Female,No,Thur,Dinner,2
45.35,3.5,Male,Yes,Sun,Dinner,3
7.56,1.44,Male,No,Thur,Lunch,2
16.4,2.5,Female,Yes,Thur,Lunch,2
38.01,3.0,Male,Yes,Sat,Dinner,4
28.97,3.0,Male,Yes,Fri,Dinner,2
16.31,2.0,Male,No,Sat,Dinner,3
15.95,2.0,Male,No,Thur,Lunch,2
48.17,5.0,Male,No,Sun,Dinner,6
19.77,2.0,Male,No,Sun,Dinner,4
38.07,4.0,Male,No,Sun,Dinner,3
11.61,3.39,Male,No,Sat,Dinner,2
43.11,5.0,Female,Yes,Thur,Lunch,4
10.77,1.47,Male,No,Sat,Dinner,2
16.82,4.0,Male,Yes,Sun,Dinner,2
10.09,2.0,Female,Yes,Fri,Lunch,2
19.49,3.51,Male,No,Sun,Dinner,2
28.15,3.0,Male,Yes,Sat,Dinner,5
5.75,1.0,Female,Yes,Fri,Dinner,2
34.83,5.17,Female,No,Thur,Lunch,4
13.16,2.75,Female,No,Thur,Lunch,2
19.65,3.0,Female,No,Sat,Dinner,2
38.01,3.0,Male,Yes,Sat,Dinner,4
18.69,2.31,Male,No,Sat,Dinner,3
21.01,3.0,Male,Yes,Fri,Dinner,2
13.0,2.0,Female,Yes,Thur,Lunch,2
11.02,1.98,Male,Yes,Sat,Dinner,2
15.81,3.16,Male,Yes,Sat,Dinner,2
23.68,3.31,Male,No,Sun,Dinner,2
10.77,1.47,Male,No,Sat,Dinner,2
21.58,3.92,Male,No,Sun,Dinner,2
48.33,9.0,Male,No,Sat,Dinner,4
16.29,3.71,Male,No,Sun,Dinner,3
13.94,3.06,Male,No,Sun,Dinner,2
10.29,2.6,Female,No,Sun,Dinner,2
12.69,2.0,Male,No,Sat,Dinner,2
8.52,1.48,Male,No,Thur,Lunch,2
35.26,5.0,Female,No,Sun,Dinner,4
12.16,2.2,Male,Yes,Fri,Lunch,2
