method,number,orbital_period,mass,distance,year
Radial Velocity,1,572.38,,41.95,1999
Transit,1,288.822,,,2011
Radial Velocity,2,3186.0,,46.84,2012
Imaging,4,69000.0,,,2008
Imaging,4,170000.0,,,2008
Radial Velocity,1,323.6,2.7,134.95,2008
Radial Velocity,1,10.8985,0.261,38.56,2002
Transit,3,0.45328509,,38.7,2011
Radial Velocity,1,131.05,9.71,,2011
Radial Velocity,2,30.052,,52.85,2009
Transit,1,2.484193,,260.0,2013
Transit,2,31.3309,,,2011
Radial Velocity,6,39.026,0.008,6.8,2013
Transit,1,8.884924,,1140.0,2013
Radial Velocity,2,14.3098,0.839,42.43,2000
Radial Velocity,1,3.8335,,81.1,2007
Radial Velocity,3,33.941,0.0162,25.59,2011
Radial Velocity,6,7.2004,,6.8,2011
Radial Velocity,1,792.6,,58.17,2012
Radial Velocity,2,345.72,1.42,,2009
Transit,1,4.2568,,,2008
Radial Velocity,1,187.83,,84.03,2012
Transit,1,3.21346,,550.0,2009
Transit,1,3.52254,,1330.0,2010
Radial Velocity,1,1279.0,,31.03,2002
Transit,1,4.954658,,,2008
Transit,1,4.187757,,260.0,2008
Radial Velocity,6,9.6184,0.0208,,2008
Transit,1,3.1186009,,,2009
Transit,1,1.54168,,,2014
Radial Velocity,1,464.3,2.0,106.38,2009
Transit,2,5.005425,,,2011
Transit,3,12.7204,,,2011
Radial Velocity,1,763.0,2.6,19.84,2011
Microlensing,1,,,2300.0,2012
Transit,1,17.833648,,132.0,2013
Transit,4,54.32031,,,2013
Transit,2,22.951,,,2013
Transit,1,3.1260876,,,2011
Transit,2,13.722341,,,2013
Radial Velocity,2,607.06,,25.7,2008
Radial Velocity,1,21.21663,,,2007
Transit,3,9.605085,,135.0,2012
Radial Velocity,6,602.0,,39.39,2010
Radial Velocity,4,310.55,,15.28,2006
Transit,1,1.354133,,360.0,2013
Radial Velocity,2,1155.7,,55.31,2012
Transit,2,10.416,,,2013
Pulsar Timing,1,0.09070629,,,2011
Radial Velocity,3,11.577,0.0166,14.56,2011
Radial Velocity,1,431.8,3.1,167.5,2011
Transit,2,191.2318,,,2013
Radial Velocity,3,2391.0,,14.08,2001
Radial Velocity,1,2371.0,,37.05,2008
Radial Velocity,2,5584.0,,90.0,2010
Imaging,1,,,139.0,2004
Transit,3,12.8159,,,2014
Radial Velocity,1,714.3,10.6,,2007
Radial Velocity,2,75.29,,69.44,2010
Transit,1,1.7429935,,,2008
Radial Velocity,2,2950.0,,52.83,2008
Transit,1,3.57532,,,2014
Transit,2,35.736,,,2013
Radial Velocity,1,,19.4,110.62,2007
Radial Velocity,2,14.3098,0.839,42.43,2000
Transit,3,29.33434,,,2012
Radial Velocity,1,1096.2,,,2011
Radial Velocity,1,472.0,,50.43,2010
Transit,2,25.5169,,,2014
Transit,1,1.354133,,,2013
Transit,1,2.797436,,411.0,2011
Transit,5,,,,2011
Transit,2,42.6318,,2100.0,2011
Radial Velocity,1,951.0,4.5,,2001
Radial Velocity,3,1078.0,2.53,14.08,1996
Transit,1,2.152226,,,2007
Radial Velocity,2,1160.9,,24.15,2011
Imaging,1,7336.5,,25.0,2009
Radial Velocity,1,986.0,0.75,44.98,2006
Transit,2,12.883,,,2012
Radial Velocity,2,161.97,,55.31,2012
Radial Velocity,2,428.5,,214.0,2009
Radial Velocity,2,3810.0,1.99,,1999
Radial Velocity,6,602.0,,,2010
Transit,1,2.797436,,,2011
Imaging,1,318280.0,,,2008
Radial Velocity,1,118.45,,37.89,2003
Transit,3,8.9193459,,,2012
Transit,1,2.5199449,,,2007
Transit,5,2.896,,303.0,2012
Radial Velocity,1,17337.5,9.0,23.98,2009
Radial Velocity,1,1800.0,1.15,96.99,2008
Radial Velocity,1,670.0,,,2011
Microlensing,1,,,3600.0,2013
Radial Velocity,1,3.33714,,25.2,2012
Transit,2,31.884,,,2013
Radial Velocity,1,181.4,,45.52,2013
Radial Velocity,2,5.6,,42.09,2009
Transit,1,4.3176782,,120.0,2010
Transit,2,5.487,,,2013
Radial Velocity,1,111.4357,,29.04,2001
Radial Velocity,5,14.651,0.8,12.53,1996
Transit,2,8.041,,,2013
Radial Velocity,2,1022.0,3.4,354.0,2011
Radial Velocity,1,5.7361,,41.27,2012
Transit,2,26.136,,,2013
