Date,CO2,adjusted CO2
1958-03-01,315.57,314.5
1958-03-31,316.65,314.4
1958-04-30,315.93,314.52
1958-05-30,315.95,314.62
1958-06-29,314.19,314.67
1958-07-29,316.18,315.68
1958-08-28,315.47,315.54
1958-09-27,315.28,315.34
1958-10-27,317.34,315.64
1958-11-26,317.75,315.48
1958-12-26,317.09,315.58
1959-01-25,317.44,315.75
1959-02-24,317.72,315.92
1959-03-26,317.35,316.1
1959-04-25,318.4,317.06
1959-05-25,317.46,316.67
1959-06-24,316.93,316.15
1959-07-24,319.2,316.94
1959-08-23,318.43,316.6
1959-09-22,317.67,317.13
1959-10-22,319.13,317.46
1959-11-21,317.75,317.21
1959-12-21,317.49,316.82
1960-01-20,320.02,317.28
1960-02-19,319.12,317.95
1960-03-20,319.7,317.72
1960-04-19,319.52,318.18
1960-05-19,320.37,317.44
1960-06-18,319.96,318.15
1960-07-18,319.83,318.12
1960-08-17,319.55,318.49
1960-09-16,317.84,318.3
1960-10-16,320.24,318.82
1960-11-15,318.81,319.2
1960-12-15,321.06,319.07
1961-01-14,321.22,319.04
1961-02-13,318.57,319.29
1961-03-15,319.36,318.76
1961-04-14,320.89,319.25
1961-05-14,321.74,319.96
1961-06-13,320.64,319.62
1961-07-13,321.77,320.02
1961-08-12,320.24,319.55
1961-09-11,321.55,320.32
1961-10-11,321.99,320.63
1961-11-10,322.88,319.4
1961-12-10,320.08,319.95
1962-01-09,321.9,320.63
1962-02-08,322.39,320.57
1962-03-10,321.39,320.91
1962-04-09,323.81,321.24
1962-05-09,321.71,320.76
1962-06-08,321.88,321.47
1962-07-08,322.95,321.3
1962-08-07,321.65,321.66
1962-09-06,324.26,321.54
1962-10-06,323.71,321.29
1962-11-05,321.61,321.28
1962-12-05,323.17,321.93
1963-01-04,325.29,322.76
1963-02-03,323.63,321.92
1963-03-05,323.55,323.01
1963-04-04,322.58,321.64
1963-05-04,326.59,322.8
1963-06-03,325.15,322.92
1963-07-03,322.97,323.22
1963-08-02,324.03,323.05
1963-09-01,324.96,322.96
1963-10-01,324.35,323.12
1963-10-31,325.05,322.96
1963-11-30,325.03,323.28
1963-12-30,326.53,322.87
1964-01-29,325.29,323.8
1964-02-28,323.78,324.18
1964-03-29,325.91,324.12
1964-04-28,326.6,324.51
1964-05-28,326.15,324.29
1964-06-27,326.29,324.56
1964-07-27,324.74,324.41
1964-08-26,326.21,324.72
1964-09-25,324.39,325.27
1964-10-25,325.79,325.26
1964-11-24,328.03,325.58
1964-12-24,327.37,325.67
1965-01-23,327.1,325.75
1965-02-22,324.38,326.0
1965-03-24,329.33,325.25
1965-04-23,326.62,325.25
1965-05-23,327.09,325.46
1965-06-22,326.57,326.36
1965-07-22,328.39,326.0
1965-08-21,327.76,326.96
1965-09-20,330.08,326.95
1965-10-20,327.89,326.31
1965-11-19,325.09,327.04
1965-12-19,329.06,326.96
1966-01-18,324.2,326.55
1966-02-17,325.18,326.67
1966-03-19,328.83,327.07
1966-04-18,327.78,327.59
1966-05-18,329.44,327.94
1966-06-17,329.29,327.04
1966-07-17,328.86,328.06
1966-08-16,329.6,328.31
1966-09-15,332.33,328.46
1966-10-15,329.52,327.93
1966-11-14,330.58,329.43
1966-12-14,330.37,328.2
1967-01-13,330.09,328.52
1967-02-12,327.76,328.2
1967-03-14,330.15,329.06
1967-04-13,326.78,328.94
1967-05-13,333.38,329.17
1967-06-12,330.51,329.2
1967-07-12,331.22,329.6
1967-08-11,330.01,329.41
1967-09-10,332.04,329.57
1967-10-10,331.47,329.65
1967-11-09,330.05,329.57
1967-12-09,329.34,329.72
1968-01-08,329.25,330.0
1968-02-07,330.93,330.67
1968-03-08,331.94,330.65
1968-04-07,330.9,330.52
