pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-23 17:12:34,2019-03-23 17:26:09,1,1.02,9.05,0.23,0.18,22.1,yellow,credit card,Financial District North,Alphabet City,Manhattan,Manhattan
2019-03-04 07:40:46,2019-03-04 07:53:48,2,0.28,8.0,0.62,0.13,11.79,yellow,credit card,East Chelsea,Gowanus,Manhattan,Brooklyn
2019-03-28 09:13:22,2019-03-28 09:26:47,3,0.88,4.2,0.83,0.06,17.18,yellow,cash,Penn Station/Madison Sq West,Morrisania/Melrose,Manhattan,Bronx
2019-03-17 10:23:26,2019-03-17 10:37:28,3,7.16,18.54,1.78,0.06,29.0,yellow,credit card,Little Italy/NoLiTa,Bushwick South,Manhattan,Brooklyn
2019-03-21 00:42:09,2019-03-21 00:56:59,1,1.23,6.0,1.98,0.13,19.27,yellow,cash,Flatiron,Manhattan Valley,Manhattan,Manhattan
2019-03-15 21:06:55,2019-03-15 21:20:46,1,0.65,8.6,2.69,0.08,21.34,yellow,credit card,TriBeCa/Civic Center,Rosedale,Manhattan,Queens
2019-03-10 13:37:41,2019-03-10 13:51:19,1,4.06,3.0,0.13,0.26,7.68,yellow,cash,Brownsville,Briarwood/Jamaica Hills,Brooklyn,Queens
2019-03-30 06:25:49,2019-03-30 06:39:53,6,1.44,3.2,3.1,0.28,14.03,yellow,credit card,Union Sq,Oakland Gardens,Manhattan,Queens
2019-03-26 13:43:09,2019-03-26 13:57:11,2,9.42,7.29,5.24,3.02,26.7,yellow,cash,JFK Airport,East Chelsea,Queens,Manhattan
2019-03-24 00:33:50,2019-03-24 00:49:44,2,0.6,13.3,2.93,0.09,15.02,yellow,credit card,UN/Turtle Bay South,Financial District South,Manhattan,Manhattan
2019-02-28 13:34:55,2019-02-28 13:47:09,1,36.57,25.1,4.06,5.08,43.01,yellow,cash,LaGuardia Airport,Spuyten Duyvil/Kingsbridge,Queens,Bronx
2019-03-28 21:31:29,2019-03-28 21:46:22,1,1.12,12.6,8.06,0.61,16.75,yellow,credit card,LaGuardia Airport,Penn Station/Madison Sq West,Queens,Manhattan
2019-03-20 03:51:38,2019-03-20 04:03:26,1,0.09,16.3,0.22,0.02,19.14,yellow,cash,Brooklyn Heights,Carroll Gardens,Brooklyn,Brooklyn
2019-03-11 04:29:11,2019-03-11 04:44:54,1,7.04,10.9,3.35,0.05,11.89,yellow,credit card,Garment District,Midtown Center,Manhattan,Manhattan
2019-02-28 16:38:29,2019-02-28 16:53:30,1,2.83,12.7,2.8,0.04,24.97,yellow,cash,Kips Bay,Baisley Park,Manhattan,Queens
2019-03-14 23:34:37,2019-03-14 23:48:46,1,0.36,5.46,5.18,0.0,11.2,yellow,credit card,Clinton East,East Concourse/Concourse Village,Manhattan,Bronx
2019-02-28 12:37:32,2019-02-28 12:51:47,6,17.75,4.1,0.07,1.18,31.0,yellow,cash,Highbridge,Soundview/Bruckner,Bronx,Bronx
2019-03-04 11:26:09,2019-03-04 11:41:35,1,4.16,9.0,1.06,0.2,20.45,yellow,credit card,Woodside,Oakland Gardens,Queens,Queens
2019-03-09 00:57:58,2019-03-09 01:11:24,1,4.04,17.08,1.22,0.76,18.5,yellow,cash,Boerum Hill,Norwood,Brooklyn,Bronx
2019-03-01 18:27:17,2019-03-01 18:44:33,1,2.39,15.8,0.77,0.47,16.5,yellow,credit card,Upper East Side South,World Trade Center,Manhattan,Manhattan
2019-03-10 06:09:14,2019-03-10 06:24:33,1,3.8,15.9,2.5,0.11,16.28,yellow,cash,Midtown East,Rego Park,Manhattan,Queens
2019-03-07 01:23:16,2019-03-07 01:38:32,2,0.44,4.3,2.0,0.06,8.01,yellow,credit card,Gramercy,Washington Heights South,Manhattan,Manhattan
2019-03-06 01:18:04,2019-03-06 01:30:33,1,3.49,6.1,0.46,0.2,16.78,yellow,cash,Midtown Center,East Harlem North,Manhattan,Manhattan
2019-03-04 04:30:33,2019-03-04 04:43:38,1,1.19,4.7,2.33,0.08,20.17,yellow,credit card,East Village,Bronxdale,Manhattan,Bronx
2019-03-12 06:37:56,2019-03-12 06:54:01,1,2.42,12.8,1.85,0.03,22.85,yellow,cash,East Harlem South,Manhattan Valley,Manhattan,Manhattan
2019-03-02 05:34:46,2019-03-02 05:49:19,1,8.16,9.87,1.69,0.07,13.0,yellow,credit card,East Village,Dyker Heights,Manhattan,Brooklyn
2019-03-10 23:20:08,2019-03-10 23:32:32,1,0.15,3.6,1.23,0.02,18.31,yellow,cash,Lincoln Square East,Glendale,Manhattan,Queens
2019-03-01 11:50:55,2019-03-01 12:05:06,1,11.84,3.2,1.91,1.51,16.53,yellow,credit card,LaGuardia Airport,Howard Beach,Queens,Queens
2019-03-23 14:17:49,2019-03-23 14:33:31,1,2.94,9.4,1.37,0.01,14.94,yellow,cash,UN/Turtle Bay South,Mount Hope,Manhattan,Bronx
2019-03-05 13:51:31,2019-03-05 14:09:15,1,2.12,6.27,0.97,0.4,33.7,yellow,credit card,Brooklyn Heights,Crown Heights South,Brooklyn,Brooklyn
2019-03-02 07:33:35,2019-03-02 07:49:24,1,1.18,14.34,5.76,0.02,17.7,yellow,cash,Midtown North,Saint Albans,Manhattan,Queens
2019-03-11 08:33:56,2019-03-11 08:49:37,1,9.38,4.8,1.55,0.02,10.95,yellow,credit card,West Village,North Corona,Manhattan,Queens
2019-03-04 23:03:14,2019-03-04 23:17:50,3,0.54,6.3,5.71,0.07,56.33,yellow,cash,Greenwich Village North,Williamsbridge/Olinville,Manhattan,Bronx
2019-03-26 09:30:44,2019-03-26 09:44:45,1,3.38,14.6,0.39,0.33,29.44,yellow,credit card,Kips Bay,Bay Ridge,Manhattan,Brooklyn
2019-03-18 14:00:57,2019-03-18 14:13:28,1,1.66,9.3,2.26,0.64,24.82,yellow,cash,Lincoln Square East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-13 18:01:00,2019-03-13 18:13:56,1,9.14,4.9,0.67,0.2,15.24,yellow,credit card,Crown Heights North,Inwood Hill Park,Brooklyn,Manhattan
2019-03-26 12:21:35,2019-03-26 12:35:06,1,8.37,6.0,0.49,0.25,10.71,yellow,cash,Financial District North,Prospect Heights,Manhattan,Brooklyn
2019-03-10 02:54:43,2019-03-10 03:07:12,2,1.11,10.3,1.69,0.02,17.83,yellow,credit card,Union Sq,Prospect Park,Manhattan,Brooklyn
2019-03-17 03:01:25,2019-03-17 03:14:57,4,2.68,13.5,6.39,0.03,24.84,yellow,cash,Midtown East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-19 09:19:13,2019-03-19 09:34:37,5,0.79,10.69,1.17,0.02,15.7,yellow,credit card,Lincoln Square East,Van Nest/Morris Park,Manhattan,Bronx
2019-03-13 11:34:51,2019-03-13 11:50:17,1,2.93,8.5,3.79,0.08,18.3,yellow,cash,Murray Hill,Astoria,Manhattan,Queens
2019-03-17 00:25:04,2019-03-17 00:38:34,1,2.67,11.8,3.09,0.0,21.59,yellow,credit card,Yorkville West,East Tremont,Manhattan,Bronx
2019-03-31 19:47:30,2019-03-31 20:01:36,1,1.38,10.54,0.04,0.0,16.1,yellow,cash,Midtown Center,Upper West Side South,Manhattan,Manhattan
2019-03-13 08:49:15,2019-03-13 09:01:41,1,4.27,3.2,2.64,1.83,5.56,yellow,credit card,Hillcrest/Pomonok,Midwood,Queens,Brooklyn
2019-03-15 23:36:06,2019-03-15 23:52:09,1,3.62,8.5,0.92,0.07,25.9,yellow,cash,East Harlem South,Columbia Street,Manhattan,Brooklyn
2019-03-20 16:00:51,2019-03-20 16:12:30,2,0.74,6.0,4.93,0.1,28.71,yellow,credit card,Clinton East,Midtown Center,Manhattan,Manhattan
2019-03-01 04:12:08,2019-03-01 04:25:28,1,4.28,11.2,0.9,0.21,26.71,yellow,cash,Upper East Side South,Kingsbridge Heights,Manhattan,Bronx
2019-03-11 17:13:02,2019-03-11 17:29:11,1,3.53,7.26,0.26,1.49,42.2,yellow,credit card,Jackson Heights,Ocean Hill,Queens,Brooklyn
