_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1955,1.42,79.33,5.06,81.57,Afghanistan,,66.46
,1975,6.52,60.91,7.04,51.85,Afghanistan,3.13,72.18
,1960,5.81,68.83,4.28,68.5,Afghanistan,2.67,73.95
Data courtesy of Gapminder.org,1980,2.53,73.26,2.3,72.41,Afghanistan,7.83,79.44
,1955,4.9,53.94,4.44,53.25,Afghanistan,5.41,72.66
,1995,6.05,53.47,1.85,55.88,Afghanistan,6.06,71.76
,1955,4.71,60.29,3.62,60.41,Afghanistan,5.98,
,1970,7.66,64.37,2.4,59.71,Afghanistan,,53.95
,1955,2.58,81.57,3.17,,Afghanistan,3.88,58.37
,2000,6.35,56.31,,68.62,Afghanistan,2.86,64.68
,2000,8.07,60.04,1.92,64.12,Argentina,4.08,52.26
,1955,1.21,71.34,1.71,78.05,Argentina,5.32,51.17
,2000,5.62,79.35,5.04,60.74,Argentina,,78.92
,2000,6.81,72.21,5.57,70.94,Argentina,7.94,56.64
,1995,5.17,55.87,2.37,67.34,Argentina,7.97,63.03
,1955,6.51,61.14,3.26,58.01,Argentina,3.7,
,1970,3.21,68.42,2.85,61.52,Argentina,5.76,
,1995,3.74,70.44,3.38,69.44,Argentina,7.2,62.34
,1995,8.06,55.99,,70.47,Argentina,2.55,60.77
,1985,3.1,63.04,4.65,80.95,Argentina,5.46,62.82
,1975,1.8,76.36,2.3,51.95,Argentina,2.14,78.56
,1955,5.59,65.75,1.24,81.57,Australia,3.91,60.68
,1995,2.97,57.11,3.51,62.16,Australia,2.17,62.82
,1955,5.92,72.88,4.56,60.18,Australia,6.12,69.41
,1980,7.36,70.59,2.63,62.38,Australia,5.34,72.26
,2000,1.45,62.1,,72.89,Australia,3.39,63.01
,1990,4.16,65.1,1.57,61.55,Australia,,66.84
,2000,3.1,64.69,,72.75,Australia,2.65,64.58
,1980,8.1,59.73,2.09,68.18,Australia,3.26,74.78
,1965,4.84,66.19,3.41,69.08,Australia,5.59,
,1960,4.48,61.19,3.26,61.61,Australia,6.49,57.95
,1985,2.79,67.79,4.2,60.76,Australia,1.3,58.69
,1980,4.23,68.2,3.45,64.81,Australia,4.21,46.28
,1975,7.94,68.42,2.45,68.19,Austria,4.61,76.28
,1960,4.06,75.37,4.34,64.34,Austria,4.98,53.23
,1960,5.75,58.02,4.0,56.98,Austria,4.86,69.33
