mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
29.2,3,83.0,84,2177,12.5,70,japan,datsun b210 gx
34.6,7,234.0,134,2759,13.5,70,usa,pontiac astro
21.3,4,89.0,75,1613,13.4,70,japan,toyota celica gt liftback
21.0,5,90.0,108,2642,19.0,70,usa,ford ltd landau
13.2,8,245.0,138,4125,14.5,70,usa,amc matador (sw)
17.3,5,183.0,149,3911,19.1,70,usa,plymouth horizon
35.1,4,154.0,64,1970,17.3,70,japan,honda civic (auto)
31.8,6,104.0,46,2146,15.3,70,japan,mazda glc
31.7,4,75.0,51,1978,16.9,70,europe,volkswagen rabbit custom diesel
32.2,4,68.0,94,2601,15.9,70,japan,toyota mark ii
23.3,6,349.0,114,3130,14.8,70,usa,amc hornet sportabout (sw)
40.4,3,121.0,64,2466,14.5,70,japan,honda civic
19.4,7,424.0,91,3142,8.0,70,usa,chevrolet chevelle malibu classic
15.4,6,135.0,178,3858,10.6,70,usa,chevrolet vega (sw)
25.5,4,134.0,84,2213,14.8,70,europe,vw rabbit c (diesel)
38.9,4,98.0,88,1872,12.7,70,europe,volkswagen rabbit
20.5,6,365.0,157,3534,16.3,70,usa,ford country
27.3,4,72.0,57,2457,10.9,70,japan,mazda rx-4
13.6,6,409.0,66,2775,18.5,70,usa,chevroelt chevelle malibu
18.6,4,224.0,104,4741,16.9,70,usa,dodge aspen
18.3,6,449.0,107,3002,12.0,70,usa,chevrolet vega (sw)
33.7,4,104.0,59,2439,16.3,71,europe,mercedes-benz 240d
37.8,4,97.0,57,2337,22.4,71,europe,peugeot 505s turbo diesel
15.1,5,366.0,117,3347,12.3,71,usa,ford granada gl
44.9,4,113.0,69,2456,8.3,71,japan,honda accord
16.6,8,217.0,89,4405,10.5,71,usa,ford pinto
20.5,5,178.0,198,3259,14.2,71,usa,ford granada gl
14.5,8,283.0,124,3261,18.2,71,usa,buick skylark
11.7,4,117.0,76,3801,16.6,71,usa,chevrolet chevelle malibu
20.9,8,180.0,113,3917,16.5,71,usa,chevrolet camaro
11.2,5,257.0,98,2785,17.7,71,usa,chevrolet nova custom
24.3,8,214.0,125,3516,19.2,71,usa,amc matador
22.5,5,123.0,75,3130,13.0,71,usa,chevy c10
32.1,6,364.0,110,3754,14.4,71,usa,ford ltd
40.7,4,84.0,55,1879,16.4,71,japan,honda accord lx
14.9,5,213.0,,3326,16.6,71,usa,dodge aries se
27.0,4,127.0,77,3339,12.7,71,europe,renault 18i
13.3,7,395.0,145,3351,16.9,71,usa,mercury cougar brougham
33.7,4,99.0,79,2129,17.9,71,japan,toyota celica gt liftback
29.7,4,92.0,65,2152,17.7,71,europe,volkswagen super beetle
22.3,5,442.0,177,2984,13.3,71,usa,amc matador (sw)
21.3,6,341.0,207,2769,9.2,71,usa,ford fairmont (auto)
22.5,8,168.0,117,3181,18.2,71,usa,chevrolet impala
14.9,8,255.0,141,2799,13.5,71,usa,ford escort 4w
20.3,6,97.0,70,4099,13.3,71,usa,ford galaxie 500
36.5,4,78.0,86,2441,12.1,71,japan,mazda 626
43.4,3,101.0,97,2121,16.3,71,japan,datsun 610
18.9,4,302.0,109,2353,17.1,72,usa,buick century limited
20.4,5,93.0,159,3513,17.7,72,usa,dodge aspen 6
20.3,7,345.0,116,3762,12.2,72,usa,mercury marquis brougham
19.6,8,283.0,87,3155,16.3,72,usa,ford f250
12.1,7,249.0,144,3512,17.0,72,usa,buick opel isuzu deluxe
11.8,6,195.0,96,4163,12.1,72,usa,plymouth fury iii
32.6,3,88.0,78,2682,16.0,72,japan,datsun 210 mpg
33.2,4,277.0,112,3055,18.2,72,usa,oldsmobile starfire sx
30.4,4,99.0,,2027,16.6,72,europe,fiat x1.9
18.9,8,130.0,157,3858,21.0,72,usa,plymouth 'cuda 340
12.8,8,450.0,124,3796,15.1,72,usa,ford thunderbird
28.6,4,94.0,53,1951,17.5,72,europe,saab 99le
10.5,7,330.0,100,2909,13.3,72,usa,mercury zephyr
15.6,5,257.0,206,3271,13.2,72,usa,pontiac phoenix
26.6,8,190.0,175,2891,23.2,72,usa,mercury capri v6
26.3,4,116.0,72,2556,19.7,72,japan,maxda glc deluxe
17.7,4,129.0,126,2835,20.5,72,usa,capri ii
24.6,4,104.0,83,1973,11.9,72,japan,mazda rx-7 gs
13.3,8,419.0,115,4446,15.4,72,usa,ford futura
28.7,4,111.0,82,2270,20.3,72,japan,toyota corolla 1200
33.2,4,149.0,105,2409,18.5,73,usa,pontiac sunbird coupe
28.6,6,430.0,133,2755,17.9,73,usa,buick electra 225 custom
12.1,5,307.0,230,4241,12.8,73,usa,cadillac seville
27.0,4,106.0,70,1613,14.6,73,japan,datsun 210
15.2,5,199.0,165,2649,12.0,73,usa,chevrolet cavalier wagon
21.1,6,301.0,150,4575,16.1,73,usa,chevrolet nova custom
18.4,8,209.0,188,2811,12.9,73,usa,plymouth cricket
12.9,6,425.0,119,3179,14.9,73,usa,plymouth volare premier v8
33.9,3,85.0,102,2315,17.2,73,japan,datsun b210
25.4,3,120.0,66,2441,12.6,73,japan,toyota corolla 1200
24.3,4,105.0,73,1908,16.4,73,europe,saab 99gle
12.3,4,251.0,123,3422,20.2,73,usa,plymouth fury gran sedan
20.6,5,390.0,128,4039,15.6,73,usa,chrysler lebaron medallion
17.9,4,79.0,72,2464,13.3,73,europe,volkswagen rabbit custom
19.4,4,277.0,75,2547,14.8,73,usa,chevy c10
14.4,6,438.0,46,5140,14.9,73,usa,plymouth grand fury
23.9,7,442.0,,2906,16.0,73,usa,amc spirit dl
26.5,4,86.0,68,1994,16.0,73,japan,toyota corolla 1600 (sw)
36.3,4,68.0,84,1971,15.5,73,japan,datsun 310
22.1,6,454.0,97,2382,13.4,73,usa,oldsmobile cutlass ls
21.1,4,94.0,74,1977,15.0,73,europe,volvo 145e (sw)
26.2,4,151.0,76,1896,12.6,73,europe,volvo 244dl
39.5,4,81.0,59,2057,12.6,73,japan,mazda rx-7 gs
33.1,4,141.0,57,1708,14.0,73,japan,datsun 200sx
14.9,6,250.0,128,2744,21.1,73,usa,mercury lynx l
24.4,4,95.0,57,2359,15.6,73,europe,vw pickup
35.8,4,100.0,47,3642,14.2,73,europe,renault 12tl
12.7,8,395.0,97,4139,17.9,73,usa,amc concord dl 6
12.4,8,151.0,134,2505,10.2,73,usa,plymouth cricket
22.5,6,369.0,124,3347,16.3,73,usa,amc matador
27.7,6,185.0,118,3067,14.5,73,usa,chevrolet bel air
20.7,3,118.0,111,2425,13.6,73,japan,toyota corona
20.5,4,118.0,110,2788,18.9,73,usa,buick century luxus (sw)
31.9,4,80.0,70,4037,9.2,73,europe,vokswagen rabbit
19.8,5,125.0,116,4206,17.0,73,usa,plymouth grand fury
10.3,5,265.0,166,2508,15.0,73,usa,chevrolet chevelle malibu
16.1,6,181.0,65,3915,19.4,73,usa,amc ambassador sst
25.5,4,102.0,58,1885,14.8,73,europe,fiat strada custom
11.8,4,180.0,118,2620,15.2,73,usa,mercury lynx l
32.5,4,145.0,71,2274,17.3,73,europe,volvo 245
